#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
     0.017221     0.017221     0.017221  9.93447e+06  4.72294e+08  3.12177e+08  4.00204e+08  2.60373e+07  3.14119e+09  3.21009e+09  4.09586e+09  5.70708e+09  7.37129e+09  9.38126e+09      48176.7
     0.017221     0.027562     0.027562   1.0742e+07  3.59672e+08  1.93895e+08  2.41586e+08  2.04791e+07  2.00578e+09  1.95351e+09  2.50057e+09  3.43347e+09  4.45533e+09   5.6967e+09      48176.7
     0.017221      0.03818      0.03818  8.82392e+06  2.44586e+08  1.04623e+08  1.30129e+08  1.62126e+07  1.20369e+09  1.11384e+09  1.45125e+09  1.94648e+09  2.53512e+09  3.30339e+09      48176.7
     0.017221     0.048836     0.048836  7.22197e+06  1.82505e+08  6.60739e+07  8.30251e+07  1.41087e+07  8.41779e+08  7.49222e+08   9.9071e+08  1.31628e+09  1.71042e+09  2.26224e+09      48176.7
     0.017221     0.059539     0.059539  6.43205e+06  1.56107e+08  5.07839e+07  6.42916e+07  1.31673e+07  6.95242e+08  5.98638e+08  7.98276e+08  1.07087e+09  1.36914e+09  1.82615e+09      48176.7
     0.017221     0.070261     0.070261  5.66271e+06  1.34468e+08  4.03701e+07  5.15001e+07  1.24409e+07  5.83869e+08  4.90267e+08  6.58052e+08  8.84102e+08  1.11853e+09  1.50223e+09      48176.7
     0.017221        0.081        0.081   4.5667e+06  1.05553e+08  2.95297e+07  3.81294e+07  1.16128e+07   4.4798e+08    3.725e+08  5.03776e+08  6.60343e+08  8.46758e+08   1.1463e+09      48176.7
     0.017221     0.091757     0.091757   3.4898e+06  7.79948e+07  2.06075e+07  2.69967e+07  1.08755e+07  3.25386e+08   2.7148e+08   3.6991e+08  4.67678e+08  6.16931e+08  8.41399e+08      48176.7
     0.017221     0.102501     0.102501  2.79212e+06   6.0655e+07  1.54368e+07  2.04561e+07  1.04189e+07  2.51063e+08  2.10587e+08  2.88463e+08  3.56915e+08  4.80268e+08  6.58249e+08      48176.7
     0.017221      0.11325      0.11325  2.45818e+06  5.26077e+07  1.30767e+07   1.7439e+07  1.02005e+07  2.17187e+08  1.81954e+08  2.49953e+08  3.08592e+08  4.16392e+08   5.7217e+08      48176.7
     0.017221     0.124006     0.124006  2.25946e+06  4.81558e+07  1.17255e+07  1.56911e+07  1.00637e+07  1.97876e+08  1.64752e+08  2.26699e+08  2.80073e+08  3.76895e+08  5.18772e+08      48176.7
     0.017221     0.134761     0.134761  2.00658e+06  4.26202e+07  1.01587e+07  1.36459e+07  9.89418e+06  1.73601e+08   1.4407e+08  1.98594e+08  2.42439e+08  3.28528e+08  4.53093e+08      48176.7
     0.017221     0.145531     0.145531  1.68775e+06   3.5502e+07   8.3085e+06  1.12191e+07  9.69205e+06  1.43318e+08   1.1944e+08  1.65007e+08  1.96843e+08  2.71707e+08  3.75592e+08      48176.7
     0.027562     0.027562     0.027562  4.60615e+06  2.19662e+08   1.4654e+08  1.87869e+08     1.77e+07  1.45769e+09  1.49489e+09   1.9075e+09  2.63572e+09  3.40614e+09  4.33515e+09      48176.7
     0.027562     0.027562      0.03818  1.02672e+07  2.26483e+08  1.19159e+08  1.47135e+08  1.55668e+07  1.09552e+09  1.14605e+09  1.45015e+09  1.74621e+09  2.60382e+09  3.29024e+09      48176.7
     0.027562      0.03818      0.03818  3.86753e+06  1.41137e+08  8.13797e+07  1.03084e+08  1.34335e+07  8.34544e+08  8.35753e+08   1.0728e+09  1.44083e+09  1.89938e+09  2.43411e+09      48176.7
     0.027562      0.03818     0.048836  8.89143e+06   1.5596e+08  7.42874e+07  9.07357e+07  1.23816e+07  6.64479e+08  7.02596e+08  8.86495e+08  1.00206e+09  1.59638e+09    2.012e+09      48176.7
     0.027562     0.048836     0.048836  3.56374e+06  1.07061e+08  5.19507e+07   6.5417e+07  1.13296e+07  5.69548e+08  5.53303e+08  7.18629e+08    9.424e+08  1.26056e+09  1.63576e+09      48176.7
     0.027562     0.048836     0.059539  7.66709e+06  1.22075e+08   5.3791e+07  6.56434e+07  1.08589e+07  4.91617e+08  5.10819e+08  6.45134e+08  7.26047e+08  1.16329e+09  1.46747e+09      48176.7
     0.027562     0.059539     0.059539   3.4536e+06    9.383e+07  3.98866e+07  5.01371e+07  1.03882e+07  4.65591e+08  4.37786e+08   5.7358e+08  7.49269e+08   9.9907e+08   1.3083e+09      48176.7
     0.027562     0.059539     0.070261  6.86678e+06  1.03378e+08  4.27427e+07   5.2342e+07   1.0025e+07  4.00557e+08  4.11408e+08  5.21635e+08  5.79662e+08  9.35957e+08  1.18555e+09      48176.7
     0.027562     0.070261     0.070261  3.21582e+06  8.24186e+07  3.15386e+07  3.97303e+07  9.66182e+06  3.88941e+08  3.55541e+08  4.69404e+08  6.09597e+08  8.08978e+08  1.06817e+09      48176.7
     0.027562     0.070261        0.081  5.87367e+06  8.39459e+07    3.281e+07  4.04904e+07  9.24774e+06  3.11638e+08  3.23314e+08  4.12727e+08  4.34061e+08  7.32476e+08  9.34484e+08      48176.7
