#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.01    -13.0202    -16.5965    -12.5027    -4.29141    -12.6367    -55.6346     96.3264    -16.6103     68.1026    -43.9046    -57.2488    -12.5759     2.91868     0.97824    0.588195     0.75637    0.454789      0.3265      105.12   0.0988276   0.0255672
   0.0104566    -14.4251    -18.7888    -13.3825    -4.74529    -13.5789    -60.3109     104.625    -18.3677     74.8442    -47.9707    -62.7355    -13.9325     3.23848     1.08486    0.652996    0.839553    0.504893    0.362685     105.126    0.105314   0.0272769
    0.010934    -15.9331    -21.2497    -14.3407    -5.23898    -14.5711     -65.269     113.894    -20.2805     81.4433     -51.907     -67.709    -15.2424     3.58929     1.20238    0.723632    0.930373    0.559508     0.40174     105.134    0.111995   0.0290163
   0.0114332    -17.5792    -23.8549    -15.3503    -5.77475    -15.5593    -71.2659     124.595    -22.3573     89.7632    -56.6121    -74.5634    -16.9421     3.97234     1.33085    0.800179     1.02901    0.618694    0.443631      105.14    0.117867   0.0305172
   0.0119553    -19.4012     -26.783    -16.3908    -6.35424     -16.609    -76.8285     134.204    -24.6044     96.8437    -60.7339     -79.941    -18.1372     4.38825     1.46868    0.882766     1.13557     0.68255    0.488417     105.144    0.121895   0.0315101
   0.0125011    -21.2529    -29.8999    -17.5342    -6.97916    -17.7754    -83.7782     145.669    -27.0274     105.412    -65.5442    -86.5275    -19.5325     4.83797     1.61727    0.971678     1.25047    0.751296    0.537081     105.143    0.123337   0.0318104
   0.0130719    -23.2984    -33.4933    -18.6773    -7.65064    -18.9882    -90.9396     156.877    -29.6329     113.879    -70.4407     -92.835    -20.7093     5.32337      1.7786     1.06854     1.37442    0.825477     0.58995     105.139    0.122101   0.0314137
   0.0136688    -25.5338    -37.2807    -19.8077    -8.37174    -20.0825    -98.2385     169.054    -32.4258      123.12    -75.3771    -98.8017    -21.8013     5.84728     1.95427     1.17319     1.51017    0.905879    0.647344      105.13    0.119008   0.0305595
   0.0142929    -27.9064    -41.2426    -20.9794    -9.14167    -21.2871    -106.611     182.621    -35.4111     133.294    -80.7176    -105.801     -23.128      6.4136     2.14338     1.28672     1.65631    0.993578    0.709988      105.12    0.115701   0.0297191
   0.0149454    -30.4706    -45.7442    -22.3133    -9.96107    -22.6207    -115.434     196.924    -38.5924     144.592    -86.7718    -113.986    -24.8154     7.02689     2.34735     1.41004     1.81496     1.09028    0.778565     105.112     0.11449   0.0294658
   0.0156278     -33.188    -50.5249    -23.6396    -10.8329    -23.9378    -124.665     212.248    -41.9713     156.455    -92.9582     -122.21    -26.3923     7.69155     2.57036     1.54416     1.98738     1.19394     0.85344     105.109    0.117082   0.0302335
   0.0163414    -36.0196    -55.4873    -24.9048    -11.7548    -25.1849    -135.165     231.056    -45.5443     171.437    -100.553    -132.475    -28.8971     8.40982     2.81105     1.68877     2.17349     1.30575    0.934375     105.113    0.123602   0.0320413
