#          k           1          b1       b1*b1
        0.01     1889.79  -0.0166486 -0.00188704
   0.0104566     1921.98  -0.0198104 -0.00227856
    0.010934     1952.33  -0.0239948 -0.00282146
   0.0114332     1980.55  -0.0288002 -0.00352551
   0.0119553     2006.45  -0.0346902 -0.00450182
   0.0125011     2029.73  -0.0414329 -0.00534514
   0.0130719     2050.18   -0.049363  -0.0064678
   0.0136688     2067.56  -0.0585487 -0.00774293
   0.0142929      2081.6  -0.0692412 -0.00917028
   0.0149454     2092.03  -0.0808697  -0.0098747
   0.0156278      2098.6  -0.0953251   -0.012543
   0.0163414     2101.07   -0.111361  -0.0145123
   0.0170875     2099.26   -0.129674  -0.0167048
   0.0178677     2092.95   -0.150462  -0.0191403
   0.0186835     2081.94   -0.173822  -0.0218103
   0.0195366     2066.06   -0.199735  -0.0246583
   0.0204286     2045.23   -0.228072  -0.0275729
   0.0213613     2019.45   -0.258677  -0.0304145
   0.0223366     1988.71   -0.291414  -0.0330591
   0.0233565     1953.04   -0.326104  -0.0354225
   0.0244229     1912.57   -0.362315   -0.037413
    0.025538     1867.55   -0.399116  -0.0388013
   0.0267041     1818.42    -0.43511  -0.0391384
   0.0279233     1765.62   -0.468851  -0.0378806
   0.0291983     1709.51   -0.499242  -0.0346702
   0.0305314     1650.63   -0.525185  -0.0294184
   0.0319254     1589.68   -0.544421  -0.0218006
   0.0333831     1527.62   -0.553787  -0.0109205
   0.0349073     1465.37   -0.551769  0.00386902
   0.0365011     1403.55   -0.539796   0.0220013
   0.0381677     1342.82   -0.514187   0.0428511
   0.0399104     1283.99   -0.474112   0.0675958
   0.0417327     1228.04   -0.421594   0.0961721
   0.0436381     1175.69   -0.360974    0.124605
   0.0456306     1127.27   -0.296288    0.152253
    0.047714     1083.02    -0.23091    0.177973
   0.0498925     1043.04   -0.175558      0.1976
   0.0521706     1007.12   -0.140259     0.20731
   0.0545526     974.763   -0.130688    0.205532
   0.0570434     945.191   -0.159553    0.188358
   0.0596479     917.338    -0.22504    0.154562
   0.0623713     889.912   -0.327623    0.105177
   0.0652191     861.496   -0.448791   0.0435093
   0.0681969     830.687   -0.557892  -0.0190111
   0.0713107     796.317   -0.607292  -0.0707684
   0.0745666     757.655   -0.538665  -0.0916909
   0.0779712     714.647   -0.285316  -0.0649029
   0.0815313     668.014    0.203228   0.0279136
   0.0852539     619.285    0.947857     0.19005
   0.0891464     570.585     1.90815    0.413778
   0.0932167     524.316     2.97934    0.668499
   0.0974729     482.705     3.98756    0.903496
    0.101923     447.363     4.70375     1.05809
    0.106577     418.931     4.90016     1.06842
    0.111443     396.896     4.41118     0.88847
    0.116531     379.582     3.21365    0.515538
    0.121852     364.411     1.51902   0.0130636
    0.127416     348.511   -0.187786     -0.4849
    0.133233     329.574    -1.23463   -0.799727
    0.139317     306.767    -1.02323   -0.777212
    0.145678     281.176     0.60742   -0.381501
    0.152329     255.354     3.11692    0.246136
    0.159284      232.14     5.37275    0.824066
    0.166557     213.367     6.11878     1.05118
    0.174162     199.086     4.66686    0.773327
    0.182113     187.673     1.46183    0.101427
    0.190428     176.753    -1.83894   -0.594364
    0.199123     164.594    -3.19458   -0.887503
    0.208215     151.141    -1.68908    -0.61697
    0.217722     137.754     1.37387  -0.0349675
    0.227662     125.895     3.31743     0.39285
    0.238057     115.945     2.33401    0.391585
    0.248927     107.249   -0.672267   0.0901798
    0.260292     98.9506    -2.90676   -0.145409
    0.272177     90.8323    -2.42052   -0.127495
    0.284604     83.1831   -0.442212   0.0362414
    0.297598     76.1545    0.248556    0.192847
    0.311186     69.6296    -1.06938    0.316883
    0.325395      63.581    -2.40646    0.389332
    0.340252     58.1095    -2.21349    0.335175
    0.355787     53.1062    -1.53977    0.207783
    0.372032     48.3696    -1.74953    0.233205
    0.389018     43.9415    -2.34466    0.317755
     0.40678     39.9596    -2.43019    0.196575
    0.425353     36.3229    -2.37191  -0.0678852
    0.444774     32.9312    -2.54671   -0.196749
    0.465082     29.8441    -2.65852   -0.282379
    0.486317     27.0429    -2.67022   -0.517879
    0.508521      24.492    -2.65997   -0.703581
     0.53174        22.2    -2.54427   -0.784081
    0.556018     20.1325    -2.37473   -0.871487
    0.581405     18.2805    -2.12538   -0.889096
    0.607951     16.6285    -1.79862   -0.821446
    0.635709     15.1367    -1.46622   -0.724942
    0.664735     13.7978    -1.10535   -0.603834
    0.695086     12.5931   -0.748935   -0.450965
    0.726822     11.5155   -0.381843   -0.274927
    0.760008     10.5789   0.0394603  -0.0657546
    0.794709      9.7781    0.467691   0.0395829
    0.830994      8.9507    0.458215   -0.187143
