#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.01    -38.8421     -41.316    -24.6497    -8.53647    -24.9034    -27.4829     23.0639   -0.149208     24.3617    -3.38832    -6.44502    -3.01666    0.127814     1.89795      1.6167     1.46749      1.2515      1.0408     0.10027   0.0739907   0.0253626
   0.0104566     -43.047    -46.5322    -26.4416    -9.44015    -26.7059    -29.7778     24.9136   -0.159412      26.402    -3.59974    -6.84538     -3.2025    0.136089     2.10812     1.79638        1.63     1.38896     1.15678    0.105893   0.0786177   0.0271289
    0.010934    -47.5482    -52.3864    -28.2891    -10.4232    -28.6326    -32.2959     26.7684    -0.17013     28.5245    -3.82716    -7.27601    -3.40268    0.144959     2.33859     1.99322     1.80818     1.54115     1.28445     0.11204   0.0833338   0.0287958
   0.0114332    -52.4612    -58.6543    -30.2487    -11.4913    -30.4925     -35.108     28.9114   -0.180777     30.8749    -4.03617    -7.67037    -3.58468    0.153298     2.59163     2.20925     2.00381     1.70818      1.4221    0.117413   0.0872828   0.0301265
   0.0119553    -57.9157    -65.6276    -32.2413     -12.645    -32.4786    -38.0686     31.1052   -0.191276     33.3854    -4.18906    -7.95468    -3.71331    0.159825     2.86514     2.44279     2.21531     1.88877     1.57162     0.12055    0.089584   0.0309271
   0.0125011      -63.43    -73.0453    -34.3929    -13.8911    -34.6299    -41.1491     33.3874   -0.199232     35.9675    -4.25421    -8.06752    -3.75938    0.163559     3.16361      2.6978     2.44503     2.08502     1.73401    0.120258   0.0896019   0.0311316
   0.0130719    -69.5371     -81.584    -36.5419    -15.2306    -36.8431    -44.3743     35.4172   -0.206213     38.4277    -4.21904    -7.98519    -3.71103    0.164041     3.48715     2.97461     2.69623     2.29994      1.9134    0.116104   0.0872502   0.0308766
   0.0136688    -76.2026    -90.5201    -38.7157    -16.6669    -38.8794    -47.4935     37.0507   -0.211799     40.5164    -4.10138     -7.7418    -3.58445    0.161842     3.83864     3.27491     2.96724     2.53217     2.10681    0.108761   0.0832101   0.0305246
   0.0142929    -83.2762     -99.874    -40.8639    -18.2017     -41.031    -51.0273     39.5992   -0.216712     43.5718    -3.95243    -7.43704    -3.42734     0.15864     4.21803     3.60043     3.26054     2.78385     2.31668    0.100249   0.0788581   0.0305926
   0.0149454    -90.9355    -110.545    -43.2846    -19.8359    -43.4349    -54.9333     42.3049   -0.222025     46.8088    -3.84663    -7.21434    -3.30994    0.156866     4.62712     3.95271     3.57628     3.05503     2.54296   0.0934336   0.0761272   0.0315677
   0.0156278    -99.0428    -121.835    -45.7126     -21.571    -45.7793    -58.8386     45.1424    -0.22875     50.3383    -3.85222    -7.20882    -3.29687    0.158804     5.06987     4.33296     3.92008     3.35022     2.78932   0.0910169   0.0764429   0.0336463
   0.0163414    -107.479    -133.503    -48.0612    -23.4046     -48.006    -63.1807     48.7045   -0.237188     54.6142    -3.99839     -7.4768    -3.41507    0.165382     5.54612     4.74132     4.28823     3.66596     3.05269   0.0940858   0.0798963   0.0365132
   0.0170875    -116.454    -145.942     -50.529    -25.3311    -50.3424    -68.0205      52.744   -0.246466     59.3386    -4.24418    -7.93791    -3.62639    0.175201     6.05451      5.1774     4.68211     4.00312     3.33364    0.101003   0.0849407   0.0393344
   0.0178677    -125.906    -159.119    -52.9872    -27.3487    -52.5592    -73.0686     56.9914   -0.254605     64.4781    -4.47672     -8.3736    -3.82589    0.184547     6.59578     5.64006     5.10068     4.36084     3.63131    0.107374   0.0886085   0.0411054
   0.0186835    -135.427     -172.89    -55.3706     -29.447     -54.709    -78.0351      61.231   -0.259662     69.7344    -4.56495    -8.52814    -3.88993    0.183968     7.16589     6.12675     5.54057     4.73718     3.94532    0.108033   0.0878532   0.0413014
   0.0195366    -145.104    -186.924    -57.5643    -31.6179    -56.7567    -82.7578     65.2994   -0.259156      74.865    -4.44017    -8.26838    -3.75436    0.186347     7.76849     6.64167     6.00646     5.13528     4.27557     0.10037   0.0820006   0.0408824
   0.0204286     -155.43    -201.454    -59.6605    -33.8514    -58.5637    -87.6334     69.2973    -0.25523     80.0682    -4.17014    -7.72701    -3.48331    0.178787     8.39796     7.18114     6.49265     5.55242     4.62499   0.0870818   0.0738846   0.0402543
   0.0213613    -166.199    -216.466    -61.8716    -36.1373    -60.3975    -92.8632     73.9218   -0.250558     85.9891    -3.94921    -7.28214    -3.25827    0.172675     9.05567     7.74737     7.00179     5.99023     4.98874   0.0756934   0.0686666   0.0422872
   0.0223366    -176.797    -231.303    -63.8794    -38.4603    -61.8978    -98.1113     79.2367   -0.248097     92.6538    -3.96454    -7.29552    -3.25533    0.174201     9.74415     8.33735     7.53376     6.45084     5.37149   0.0735188   0.0698727   0.0467045
   0.0233565    -187.442    -246.289    -65.6932    -40.7998    -63.3301    -103.648     85.1446   -0.247818     100.079    -4.21095    -7.76244    -3.47146    0.183251     10.4577     8.94866     8.08582     6.92079      5.7629   0.0803715   0.0753763   0.0513753
   0.0244229    -198.089    -261.027    -67.4169    -43.1346    -64.4757    -109.419     91.9773   -0.245768     108.577    -4.44131     -8.1988    -3.67485    0.191623     11.1917      9.5768     8.65333      7.4047     6.16823   0.0865025   0.0778254   0.0534414
    0.025538    -208.121    -275.048    -68.7289    -45.4399    -65.2146    -114.283     98.3476   -0.237421      116.75     -4.3652    -8.04037    -3.59346    0.189821     11.9385     10.2171     9.23085      7.8998     6.57985   0.0806369   0.0715302   0.0525359
   0.0267041     -217.93    -288.356    -69.9407    -47.7218    -65.5857    -118.602      104.48   -0.222922     124.735     -3.9893    -7.30614     -3.2323    0.178141     12.6971     10.8679      9.8173     8.40304      6.9993   0.0630867   0.0632189   0.0522728
   0.0279233     -227.87    -301.326    -71.0523    -49.9563    -66.0623    -123.301     110.973   -0.209056     133.274    -3.70369    -6.74503    -2.95942     0.16948      13.469       11.53     10.4141     8.91497     7.42613   0.0490646   0.0544297   0.0567399
   0.0291983    -237.088     -312.96    -71.6663    -52.1251     -65.754    -127.779      119.06   -0.201798     143.565    -3.83694    -7.01173    -3.08354    0.174973     14.2511     12.1999     11.0189     9.43292     7.85784   0.0515618   0.0594052   0.0639172
   0.0305314     -245.74    -323.755    -72.3327     -54.215    -65.5311    -132.549     127.898   -0.197755     154.717    -4.15478    -7.62812    -3.38148    0.186674     15.0403      12.875     11.6291     9.95477     8.29227   0.0609475   0.0622808   0.0690267
   0.0319254    -253.536    -333.722    -72.4658    -56.2165    -64.6536    -135.988     136.093   -0.187939     165.228    -4.06162    -7.45363    -3.30049     0.18542     15.8279     13.5499     12.2381     10.4761     8.72659   0.0543541   0.0560464   0.0681381
   0.0333831    -260.846    -340.749    -72.1269    -58.1391    -63.1872    -138.547     143.839   -0.172725     175.487    -3.57074    -6.51049    -2.85388    0.171547     16.6164     14.2268     12.8477          11     9.16334   0.0320988   0.0459316   0.0697842
   0.0349073    -268.991    -347.767    -72.1642    -59.9915    -61.9513    -141.606     152.539   -0.164579     186.941    -3.41971    -6.23686    -2.72956    0.169615     17.4184     14.9145     13.4678     11.5326     9.60739   0.0232198   0.0408097   0.0797983
   0.0365011    -274.314    -352.894    -71.3935    -61.7842    -59.9578    -144.427     162.766   -0.166654     199.982    -3.78784    -6.97604    -3.09991    0.185592     18.2387     15.6166     14.1021     12.0747     10.0588   0.0345282   0.0515086   0.0887737
   0.0381677    -279.356    -357.264    -70.2193    -63.5282    -57.6532    -146.363     172.749   -0.164685     212.877     -3.7807    -6.99991    -3.12479    0.190099     19.0723     16.3292     14.7466     12.6257     10.5167   0.0312728   0.0469126    0.088687
   0.0399104    -284.993    -361.838    -69.1414    -65.2496    -55.1553    -148.051     181.797   -0.154525      224.92    -3.23281    -5.97972     -2.6513    0.177483     19.9265     17.0622     15.4071     13.1916     10.9894  0.00689504   0.0331248   0.0928723
   0.0417327    -290.684    -366.305    -67.5038    -67.0033    -52.0648    -149.973     192.356   -0.151952     238.655    -3.23998    -6.04909    -2.70774    0.183414     20.8299     17.8364     16.1056      13.791     11.4899  0.00428146   0.0326151    0.108189
