#          k           1          b1       b1*b1
        0.01     4724.48     14257.5 -0.00797218
   0.0104566     4804.96     14500.3 -0.00996972
    0.010934     4880.85     14729.4    -0.01261
   0.0114332     4951.41     14942.3  -0.0157708
   0.0119553     5016.15     15137.6  -0.0199399
   0.0125011     5074.36     15313.3  -0.0239061
   0.0130719      5125.5     15467.6  -0.0289949
   0.0136688     5168.95     15598.8  -0.0348345
   0.0142929     5204.04     15704.7  -0.0415026
   0.0149454     5230.12     15783.4  -0.0460217
   0.0156278     5246.55       15833  -0.0573977
   0.0163414     5252.77     15851.7   -0.066864
   0.0170875     5248.26     15838.1  -0.0774838
   0.0178677      5232.5     15790.6  -0.0893449
   0.0186835     5204.98     15707.5   -0.102425
   0.0195366      5165.3     15587.8   -0.116524
   0.0204286     5113.25     15430.7   -0.131234
   0.0213613     5048.81     15236.3   -0.146025
   0.0223366        4972     15004.5   -0.160367
   0.0233565     4882.86     14735.5   -0.173798
   0.0244229     4781.71     14430.2    -0.18577
    0.025538     4669.22     14090.8   -0.195234
   0.0267041      4546.4     13720.2   -0.200386
   0.0279233     4414.44     13321.9   -0.199018
   0.0291983     4274.21     12898.8   -0.189838
   0.0305314     4127.06     12454.7   -0.170504
   0.0319254     3974.74     11995.1    -0.13986
   0.0333831      3819.6     11526.9  -0.0954797
   0.0349073     3664.03     11057.5    0.145426
   0.0365011     3509.51     10591.2   0.0410189
   0.0381677     3357.73     10133.2    0.134173
   0.0399104     3210.68      9689.5    0.242958
   0.0417327     3070.81     9267.45    0.364681
   0.0436381     2939.97     8872.64    0.493342
   0.0456306     2818.95      8507.5    0.616997
    0.047714     2708.35     8173.77    0.730094
   0.0498925     2608.44     7872.31    0.817072
   0.0521706     2518.67     7601.47    0.859885
   0.0545526     2437.84     7357.58    0.846147
   0.0570434     2363.99     7134.77    0.758408
   0.0596479     2294.44     6924.94    0.587708
   0.0623713        2226     6718.45    0.341841
   0.0652191     2155.07     6504.45    0.032389
   0.0681969     2078.17     6272.41   -0.289809
   0.0713107      1992.3     6013.34   -0.565214
   0.0745666     1895.65     5721.75   -0.699299
   0.0779712     1788.01     5396.97   -0.601565
   0.0815313      1671.2     5044.52   -0.181234
   0.0852539     1548.98     4675.73    0.590083
   0.0891464     1426.71     4306.82     1.68016
   0.0932167     1310.45        3956     2.94419
   0.0974729     1205.84     3640.32     4.13302
    0.101923     1117.06     3372.36     4.93275
    0.106577     1045.81     3157.26     5.00391
    0.111443      990.89     2991.41      4.0858
    0.116531      948.12     2862.19     2.12638
    0.121852     910.956     2749.89   -0.574737
    0.127416     871.954     2632.06    -3.30909
    0.133233     824.999     2490.28    -5.07222
    0.139317     767.699     2317.34    -4.92893
    0.145678     702.705     2121.25    -2.58305
    0.152329     636.698     1922.11     1.19484
    0.159284     577.382     1743.12     4.70135
    0.166557     529.992     1600.01     5.98809
    0.174162     495.003     1494.23     3.91352
    0.182113     468.087     1412.75   -0.954038
    0.190428      442.42     1335.09    -6.09547
    0.199123      412.64     1245.16    -8.20155
    0.208215     378.138     1141.14    -5.72877
    0.217722     343.043     1035.38   -0.631223
    0.227662     312.391     942.923     2.69366
    0.238057     288.064     869.369     1.17956
    0.248927      267.89     808.259    -3.84536
    0.260292     248.275     748.928    -7.65363
    0.272177     227.708     686.926    -6.70518
    0.284604     207.585     626.338    -3.03404
    0.297598     189.708     572.407    -1.68086
    0.311186     174.116     525.229    -4.10238
    0.325395     159.704     481.636    -6.58952
    0.340252     145.943     440.149    -6.05425
    0.355787     133.147     401.618    -4.38321
    0.372032      121.47     366.372    -4.56776
    0.389018     110.752     333.988    -5.61926
     0.40678     100.885      304.24    -5.45595
    0.425353     91.8269      276.96    -4.76582
    0.444774     83.4969     251.842    -4.70763
    0.465082     75.8741     228.855    -4.64613
    0.486317     68.9235     207.918    -4.21117
    0.508521     62.5795     188.805    -3.81836
     0.53174     56.8097     171.411    -3.45324
    0.556018     51.5653     155.604    -2.98983
    0.581405     46.8083      141.26    -2.52109
    0.607951     42.4976     128.254    -2.05919
    0.635709     38.5808     116.436    -1.61577
    0.664735      35.032     105.724     -1.2118
    0.695086     31.8148     96.0075   -0.843738
    0.726822     28.9146     87.2503   -0.463771
    0.760008     26.3501     79.5123   0.0376506
    0.794709     24.1475     72.8802    0.712936
    0.830994     22.1399     66.8455     1.15293
