#          k           1          b1       b1*b1
       2e-05     18.3219     55.0851 4.05487e-13
      0.0005     406.324     1221.62 1.45199e-07
       0.001     781.862     2350.72 2.09311e-06
       0.004     2593.47     7797.34 0.000178729
       0.007     3782.62     11372.5 5.01219e-05
        0.01      4514.3     13572.3 -0.00338936
        0.02     4960.53       14914   -0.107281
        0.03     4076.53     12256.3   -0.170738
        0.04     3142.25     9447.57    0.171654
        0.05      2564.3     7710.17    0.662143
        0.06     2256.37     6784.54    0.437446
        0.07     2011.38     6048.15   -0.534946
        0.08     1717.26     5164.03   -0.724207
        0.09     1406.86     4230.96      1.0288
         0.1     1162.78     3497.15     3.22528
        0.11     1016.12     3056.06      2.9233
        0.12     935.475     2813.31    -1.04467
        0.13     867.104     2607.51    -6.09671
        0.14     779.211     2343.17    -7.80773
        0.15     679.126      2042.3     -4.8907
        0.16     591.809     1779.78    -1.01428
        0.17     531.672      1598.8    -1.17428
        0.18     493.748     1484.46    -6.71981
        0.19     463.613     1393.55    -14.3441
         0.2     429.788     1291.71    -18.7378
        0.21     391.106     1175.46     -17.588
        0.22     354.073      1064.2    -14.1703
        0.23     323.766      973.04    -13.0592
        0.24     300.705     903.509     -16.414
        0.25     282.032      847.08    -22.7784
        0.26     264.195     793.257     -28.033
        0.27     245.997     738.481    -29.8401
        0.28     228.095     684.703    -28.6423
        0.29     211.803     635.767    -27.2098
         0.3     197.753     593.439    -28.0881
        0.32     174.187     522.312    -34.3442
        0.34       153.4     459.766      -36.46
        0.36     135.311     405.468    -35.2677
        0.38     120.046     359.542    -36.6416
         0.4     106.788     319.773    -37.4179
        0.43     90.1568     269.932    -35.2937
        0.46      76.604     229.495    -33.4663
         0.5     62.4072     187.107    -29.8569
        0.55     49.3721     148.255    -24.6866
        0.62     37.9742     114.427    -14.2105
         0.7     29.5253     88.8828    -7.79824
        0.85     20.1823     60.6572    -1.41977
           1     14.2427     42.8094   -0.102975
         1.2     9.34052     28.0666  -0.0393281
         1.5     5.51588     16.5756  -0.0264586
           2     2.75672     8.28344   -0.030777
           4    0.469951     1.42086  -0.0187516
          10   0.0647849    0.196269   0.0300887
