#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005    0.349188    0.138636  -0.0416803 2.18303e-07  -0.0536411  -0.0373088 0.000135649 1.35211e-07 0.000135469 -6.86054e-05 -0.000137476 -6.88976e-05 6.80617e-07 8.04944e-08   -0.285286 6.27285e-08   -0.222332   -0.303166 2.33334e-06  0.00015429 3.95264e-05
       0.001  -0.0242554  -0.0103535  0.00135968 3.32499e-06   0.0016925 0.000337107  0.00204804 2.06156e-06  0.00204539 -0.00103578  -0.0020756 -0.00104023 1.02699e-05    1.26e-06 -0.00301387 9.81905e-07 -0.00234575 -0.00320299 3.51975e-05  0.00232967 0.000603994
       0.004    -1.79592    -1.01234   0.0180722 0.000209743   0.0243405   -0.051513     0.12099 0.000179675    0.121036  -0.0603647   -0.120658  -0.0602807 0.000561718 9.26073e-05   0.0570366  7.2168e-05   0.0444423   0.0605875  0.00190286    0.132746   0.0344492
       0.007    -7.77625    -4.43752     0.14077 0.000584164    0.190621    0.256354   -0.361511  1.6073e-05   -0.361205     0.17966    0.358875    0.179172  -0.0018444 -0.000739195    0.254584 -0.000576048    0.198395     0.27084 -0.00630998   -0.394423   -0.101948
        0.01    -18.3153     -10.544    0.486413    0.003157    0.663862    -1.09663     2.76919 -0.000202951     2.77037    -1.38196    -2.76235    -1.38013   0.0148398    0.004341    0.621396  0.00338519     0.48425    0.659083     0.04853     3.03956    0.788424
        0.02    -71.0705     -40.874     4.19294    0.050274     5.73005 -0.00457164     5.93591  0.00346979     5.93644    -2.98812     -5.9777    -2.98931   0.0318655  0.00085774     2.68366 0.000667702     2.09135     2.85209    0.103594     6.58618     1.71095
        0.03     -113.18     -61.269     11.5363      0.1561     15.6603     7.16889     3.82546   0.0117883     3.79795    -2.03007    -4.07655    -2.04763   0.0198552  -0.0284844     4.87378  -0.0221973     3.79809     5.18992   0.0708471     4.52165     1.17455
        0.04    -131.177    -62.9171     20.3104    0.258933     27.3749     15.9513      1.8221   0.0207148     1.72859    -1.19691    -2.43177    -1.23836  0.00875062  -0.0603015      6.5839  -0.0469922     5.13077     7.01801   0.0432039     2.75914    0.717036
        0.05    -144.292    -61.7422     29.1899    0.366654     39.1267     24.1657     0.79954   0.0323536    0.609136   -0.900143    -1.86254   -0.968599  0.00194469  -0.0972701     8.30147  -0.0758005     6.46929     8.85611    0.034872     2.19743     0.57031
        0.06    -164.345    -67.1178     38.2133    0.555052      51.001     32.6455   -0.748072   0.0513307    -1.07582   -0.388614   -0.862667   -0.483702  -0.0101061    -0.17346     10.3712    -0.13518     8.08218     11.0824   0.0190576     1.17617    0.305898
        0.07    -180.028    -69.0144     47.3499    0.785329     62.9734      41.423    -1.65069   0.0650733    -2.17223   -0.266643   -0.635202   -0.381625  -0.0175655    -0.28181     12.3594   -0.219612     9.63149     13.2334    0.017206     1.00971    0.261694
        0.08     -174.25    -53.3501     55.8047    0.858212     73.9675     50.0883    -2.78833   0.0563518    -3.54279   -0.061776   -0.233477   -0.187406  -0.0193462   -0.343944     13.5755      -0.268     10.5792     14.5477   0.0124085    0.646489     0.16711
        0.09    -149.079    -23.1819     62.7341    0.672217     82.8815     56.7785    -3.78895   0.0303735    -4.71743    0.128635    0.146778  0.00184768  -0.0150743   -0.297393     14.0005   -0.231756     10.9105      14.983  0.00806635    0.292168   0.0750991
         0.1     -124.36     3.79414     68.0344    0.419399     89.6583     61.0619    -4.09963   0.0112691    -5.12461    0.120088    0.136806 0.000101987  -0.0111458   -0.208203     14.3042   -0.162251     11.1471     15.2742   0.0107802    0.349477    0.089072
        0.11    -114.944     16.0772     72.2812    0.391709     95.0515     65.0321    -4.43113   0.0116227    -5.49433    0.231243    0.370085      0.1232  -0.0162547   -0.222542     15.0378   -0.173425     11.7188     16.0588  0.00916355    0.112285   0.0275086
        0.12    -118.231     17.9766     76.0346    0.654232     99.8186     70.0885    -4.54056   0.0143166      -5.666    0.214962    0.352779    0.123477  -0.0205935   -0.397663     16.1444   -0.309895     12.5811     17.2966   0.0120744    0.122322   0.0293167
        0.13    -120.038     21.7624      79.346    0.945328     104.009     75.5145    -4.80572 -0.000457506    -6.04272    0.202738    0.348433    0.134605  -0.0158152   -0.610576     17.1361     -0.4758      13.354      18.426   0.0147714   0.0852825   0.0191734
        0.14    -109.807      34.349     82.0487     0.92442     107.394     78.6408    -5.07187  -0.0212455    -6.43078    0.159924    0.285582    0.115097 -0.00565484   -0.653663      17.635   -0.509475     13.9616      19.128   0.0183242   0.0654106   0.0136482
        0.15    -90.4397     51.3548     84.1179    0.557485      109.94     78.3912    -5.19254   -0.022421    -6.63544    0.128391    0.247968     0.11379 -0.00492901   -0.472342     17.7377   -0.367993     13.8228     19.0165   0.0216377 -0.00128589 -0.00471181
        0.16    -72.5481     65.1957     85.6979    0.157405     111.858      76.791    -4.83109 -0.00544404    -6.24743 -0.00274838   0.0102709    0.010747    -0.01467   -0.243093     17.8096   -0.189436     13.8788     19.0115   0.0281112   0.0841053   0.0170596
        0.17    -62.7977     73.4735     86.9749   0.0450767     113.378     77.1892    -4.42803 -0.00470324    -5.77701  -0.0631722  -0.0857051  -0.0232352  -0.0188624    -0.19138     18.0763   -0.149141     14.0867     19.2766   0.0323414  0.00101204  -0.0054872
        0.18    -59.5459      79.401      87.964    0.256685     114.537     80.4325     -3.9252  -0.0472056    -5.21745   -0.183857   -0.299251   -0.112029  0.00322753   -0.372772     18.4875   -0.290494     14.4071     19.7782   0.0362986  -0.0154004   -0.010734
        0.19    -57.0769     86.0384     88.5847    0.546976     115.233     84.3832    -3.38743   -0.116732    -4.67236   -0.384537   -0.667773   -0.274475   0.0476934   -0.629178     18.8669   -0.490349     14.7028      20.273     0.04693    0.127516   0.0255023
