#          k           1          b1       b1*b1
      0.0005     429.252     1285.26 1.54635e-07
       0.001     824.523     2468.77 2.22441e-06
       0.004      2719.6     8142.96 0.000237141
       0.007     3951.29     11830.8  0.00026501
        0.01     4700.32     14073.6 -0.00440408
        0.02      5117.9     15323.9   -0.115091
        0.03     4172.45     12493.2   -0.176407
        0.04     3197.31     9573.64    0.202943
        0.05     2602.64     7793.33    0.719751
        0.06     2288.31     6852.39    0.463397
        0.07     2036.23     6097.77   -0.561212
        0.08     1732.41     5188.26   -0.700735
        0.09      1414.1      4235.3     1.21204
         0.1     1166.64     3494.39     3.51169
        0.11     1019.95     3054.98     3.09674
        0.12     939.502     2813.83    -1.11565
        0.13     869.729     2604.68    -6.26181
        0.14      779.33     2333.93    -7.72714
        0.15     677.385     2028.73    -4.41374
        0.16     589.713     1766.22   -0.367894
        0.17     530.116     1587.59   -0.715255
        0.18     492.587     1474.89    -6.57023
        0.19     462.167      1383.5    -14.2536
         0.2     427.588     1279.83    -18.2761
        0.21     388.359     1162.44    -16.6038
        0.22     351.313      1051.6    -12.9386
        0.23     321.296     961.678     -11.924
        0.24     298.504      893.23    -15.5176
        0.25     279.866     837.131    -21.9222
        0.26     261.908     783.182    -26.8991
        0.27     243.609     728.346    -28.2618
        0.28     225.749     674.926    -26.7483
        0.29     209.616     626.668     -25.281
         0.3     195.732     585.007    -26.2882
        0.32     172.332     514.671    -32.4685
        0.34     151.676     452.799    -34.1017
        0.36       133.8     399.364    -32.8631
        0.38     118.707     354.141    -34.2826
         0.4     105.622     315.002    -34.8928
        0.43     89.1856     266.041    -32.8093
        0.46     75.8326     226.327    -31.0834
         0.5     61.8455     184.724    -27.6596
        0.55     49.0066     146.592    -22.7866
        0.62     37.7624     113.322    -12.9181
         0.7     29.3634     88.0199     -7.0018
        0.85     19.9819     59.8044    -1.23862
           1     14.0542     42.0681  -0.0922948
         1.2     9.20378     27.5455  -0.0395992
         1.5     5.42923      16.248  -0.0266609
           2     2.70962     8.10837   -0.030719
           4    0.463651     1.38601  -0.0185848
          10    0.063804    0.192523   0.0297045
