#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005  -0.0031151   0.0272903  -0.0339407 -0.000983265  -0.0339265     1.08549    -2.42298 -0.00364261    -2.56541     1.24468     2.90117      1.3502 0.000574875 0.000201257 0.000123231  0.00015877  9.7216e-05 7.02154e-05         105  -0.0193962 -0.00509895
       0.001  -0.0225107   0.0866848   -0.135318 -0.00715158   -0.135334  -0.0939783    -1.17175  -0.0266565    -1.12362    0.384285    0.797808    0.844438  0.00450535  0.00153862 0.000932627  0.00121381 0.000735742 0.000528485     104.999  -0.0525269  -0.0138057
       0.004    -1.11188    -0.37121    -2.05943   -0.354054     -2.0722    -7.38587     13.4147    -1.33969     8.68469     -6.1306    -7.61789    -1.85997     0.24223   0.0812208   0.0488923    0.064154   0.0385708   0.0274916     105.021     1.34559    0.353728
       0.007    -4.77595    -4.71299    -5.77615     -1.5172    -5.84687    -19.5835     32.2673    -5.75537     19.6339    -14.6833    -16.4255     -1.7852     1.02389     0.34266    0.205784    0.270329    0.162347    0.116078     104.927    -4.17203    -1.09687
        0.01    -11.2024    -14.1256    -10.5101    -3.55318    -10.6724    -55.0698     97.5971    -13.4833      74.483    -45.3503    -66.1311    -20.2404     2.67463    0.894452    0.537448    0.705631    0.423989    0.303096     105.526     33.3349     8.76584
        0.02    -43.4278    -68.9931    -26.0332     -13.664    -26.1222    -181.576     305.365    -51.9212     254.382    -138.358    -201.588    -59.2767      11.255     3.75813     2.25684     2.96476      1.7804     1.27239     106.147     73.6736     19.3734
        0.03    -70.0137    -114.703    -34.1854    -22.3037     -32.821    -308.221      544.35    -84.8466      450.05    -221.289    -314.211    -83.9693     20.2022     6.74041     4.04685     5.31782     3.19283     2.28164     105.779     51.2165     13.4683
        0.04    -83.0609    -132.067    -35.9687    -27.4018    -32.3812    -430.684     792.482    -104.341     675.027    -308.863    -441.636    -118.233     27.3525     9.12106     5.47525     7.19525     4.31939     3.08657     105.445     31.0427     8.16343
        0.05    -93.4657    -147.242    -33.7637    -31.7234    -27.8713    -556.952     1052.88    -120.927      919.11    -402.061    -587.381     -166.08     34.7445     11.5774      6.9487     9.13331     5.48177     3.91692     105.342     25.6349     6.74132
        0.06    -107.622    -177.632    -27.2407    -36.6294    -18.7051    -691.277     1304.76    -139.884     1162.21    -490.186    -729.887    -216.118     43.6973     14.5366     8.71916     11.4678     6.87848     4.91325     105.111     12.6475     3.32655
        0.07    -118.761    -205.183    -16.2048    -40.5093    -4.35132    -828.084     1561.46    -155.049     1418.11    -579.704    -883.801    -276.006     52.4186     17.4006     10.4276     13.7272     8.22626     5.87307     105.069     11.7408     3.08809
        0.08    -117.023      -200.7    -2.96242    -41.4037     12.4686    -933.286     1801.71    -158.707     1661.69     -662.04    -1029.25    -336.028     57.7569     19.1474     11.4683     15.1053     9.04728     6.45743     104.969     7.55842     1.98849
