#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005    0.283658    0.112491  -0.0334832 1.77011e-07  -0.0431114   -0.029978 0.000108786 1.09302e-07 0.000108641 -5.50213e-05 -0.000110256 -5.52564e-05 5.88174e-07 7.05994e-08   -0.243469 5.56953e-08    -0.19208   -0.261914 2.20448e-06 0.000145771 3.78092e-05
       0.001  -0.0222845  -0.0100129  0.00100476 2.69555e-06  0.00125853  0.00018285  0.00164246 1.66643e-06  0.00164033 -0.000830694 -0.00166465 -0.000834277   8.875e-06 1.10575e-06 -0.00285483  8.7232e-07 -0.00225199 -0.00307141 3.32536e-05  0.00220104 0.000577539
       0.004    -1.58265   -0.889244   0.0161248 0.000168489   0.0212235  -0.0406372   0.0970579 0.000144976   0.0971031  -0.0484108  -0.0967648  -0.0483458 0.000485193 8.56869e-05   0.0527215 6.75977e-05   0.0415917   0.0567005  0.00179768    0.125411   0.0329511
       0.007    -6.84441    -3.89278     0.12233 0.000456375    0.165807    0.210898    -0.28999 -5.07915e-05   -0.289756    0.144126    0.287898    0.143736 -0.00159507 -0.000594081     0.23504 -0.00037314    0.184969    0.253228 -0.00596285   -0.372741  -0.0975057
        0.01    -16.1085    -9.24118    0.422355  0.00251098    0.576527   -0.860901     2.22213 -0.00016204     2.22303    -1.10897    -2.21668    -1.10748    0.012849  0.00386498    0.572931  0.00304905    0.451981    0.615198   0.0458761     2.87335    0.754572
        0.02     -62.406    -35.7624     3.63583   0.0404315      4.9715    0.189642     4.76135  0.00277199     4.76169    -2.39689    -4.79482    -2.39781   0.0275786 0.000808936     2.47047 0.000636155     1.94893     2.65761   0.0978921      6.2235     1.63678
        0.03    -99.3632    -53.6106     10.0005    0.125109     13.5824     6.33717     3.06805  0.00945285      3.0472    -1.62881    -3.27078    -1.64289   0.0174774  -0.0243821     4.48619  -0.0192349     3.53912     4.83536   0.0669574     4.27394     1.12397
        0.04     -115.47     -55.294     17.6241    0.208374     23.7668      13.895     1.46202   0.0167452     1.38877   -0.961471     -1.9537    -0.99493  0.00733054    -0.05194     6.07301  -0.0409751     4.79095     6.55187   0.0406287     2.61117    0.686985
        0.05    -127.638    -54.7273     25.3817    0.297644      34.038     21.0261    0.644732   0.0263503    0.492544   -0.725944     -1.5022   -0.781212  0.00158134  -0.0847742     7.68238  -0.0668786     6.06057     8.29484   0.0330924     2.08723    0.548282
        0.06    -145.655    -59.7135     33.2994    0.452153     44.4625     28.4058   -0.611743    0.041774   -0.876619   -0.310939   -0.690986   -0.387803 -0.00896171   -0.151735     9.61213   -0.119699     7.58294     10.3946    0.017956     1.11129    0.292283
        0.07    -159.076     -61.048     41.3234    0.634938     54.9787     36.0543    -1.34285   0.0527154    -1.76595   -0.213063   -0.508957   -0.306309  -0.0154141   -0.244422     11.4399   -0.192809     9.02481      12.394   0.0161906    0.956117    0.250865
        0.08    -153.095    -46.5482     48.7399    0.684285     64.6198      43.594    -2.27028   0.0454094    -2.87498  -0.0455705   -0.180788   -0.147811  -0.0169585   -0.293909     12.5348   -0.231863     9.88863     13.5897   0.0115334     0.60711    0.158862
        0.09    -130.531    -19.6754      54.803    0.528962     72.4257     49.4622    -3.07447   0.0240614    -3.82226    0.111646    0.132875  0.00794673  -0.0131807   -0.250839      12.916   -0.197885     10.1893     13.9843  0.00719447    0.263677   0.0685936
         0.1    -109.368     3.63796     59.4579    0.334134     78.3726     53.3287    -3.30939  0.00861972    -4.13314    0.100331     0.11592  0.00192689  -0.0096585   -0.178139      13.223   -0.140509     10.4315     14.2885  0.00994448    0.333774    0.086103
        0.11    -102.177     13.5755     63.1925    0.331251     83.1188     56.9215    -3.59935  0.00929902    -4.45575    0.198698    0.320958    0.109178  -0.0143359   -0.201379     13.9486   -0.158866     11.0039     15.0774   0.0079984   0.0916165   0.0225063
        0.12    -105.669     14.6512     66.5262     0.55426       87.35     61.3321    -3.70005   0.0129162    -4.61068    0.182033    0.300316    0.105995  -0.0187589   -0.360522     15.0031   -0.284414     11.8359     16.2688   0.0108689    0.116072   0.0281571
        0.13    -106.762     18.1813     69.4774    0.775738     91.0855     65.9051    -3.93805  0.00338711    -4.94674    0.176496    0.304173    0.118123  -0.0157652   -0.537871     15.9108   -0.424323     12.5519     17.3088   0.0132301   0.0787518   0.0177957
        0.14    -96.5367     30.1043     71.8927     0.72791      94.107     68.4616    -4.17449  -0.0121262     -5.2813    0.148518    0.265832    0.109011 -0.00796002   -0.555731     16.3351   -0.438412     12.8866     17.7718   0.0162945   0.0513149   0.0102587
        0.15    -78.6823     45.8691     73.7383    0.413233     96.3816     68.2877     -4.2531  -0.0150709    -5.41871    0.118546    0.226752     0.10229 -0.00656735   -0.385676     16.4023   -0.304257     12.9397     17.7832   0.0196144  0.00570871 -0.00276819
        0.16    -63.0442      58.356     75.1364    0.103383     98.0745     67.2349    -3.96145 -0.00678798     -5.1068   0.0235043   0.0572951   0.0309891  -0.0125577   -0.195713     16.4723   -0.154397     12.9949     17.7902    0.025265   0.0703837    0.013844
        0.17    -55.1935      65.393     76.2516   0.0470174     99.3984     67.9471    -3.62786  -0.0107233    -4.72218  -0.0264085  -0.0229495  0.00234486  -0.0133062   -0.176722     16.7456   -0.139415     13.2105     18.0774   0.0292821  0.00106693 -0.00537006
        0.18    -52.9785     70.0562     77.1011    0.243402     100.396     70.8989    -3.24232  -0.0443852    -4.28855   -0.121049   -0.193059  -0.0678355  0.00608431   -0.355239     17.1531   -0.280245      13.532     18.5802   0.0346825  -0.0132686  -0.0101185
