#          k           1          b1       b1*b1
      0.0005     142.954     604.028      1148.5
       0.001     274.142     1158.34     2202.47
       0.004     901.355     3808.52     7241.53
       0.007     1307.95     5526.52     10508.1
        0.01     1554.65     6568.92     12490.1
        0.02     1689.77     7139.88     13575.9
        0.03     1377.08     5818.69       11064
        0.04     1057.46     4468.23     8496.38
        0.05     863.819     3650.07     6940.79
        0.06     760.671     3214.31     6112.44
        0.07      675.85     2856.03     5431.57
        0.08     573.529     2423.71     4609.55
        0.09     468.001     1977.65     3760.65
         0.1     387.529     1637.39     3112.75
        0.11     340.618     1439.16     2735.77
        0.12      314.66     1329.79     2529.02
        0.13     290.952     1230.01     2340.89
        0.14     259.933     1099.06     2092.31
        0.15     225.679     954.055     1815.55
        0.16     196.995     832.543     1583.34
        0.17      178.06     752.597     1431.69
        0.18      166.23     703.126     1339.78
        0.19     156.205     661.416     1263.15
         0.2     144.336     611.599      1169.8
        0.21     130.891     554.668     1061.11
        0.22     118.469     501.929     959.905
        0.23     108.666     460.497     881.208
        0.24      101.37     430.033      824.92
        0.25     95.3564     405.178     780.103
        0.26     89.3282     380.111     734.241
        0.27     83.0566     353.715     684.582
        0.28     76.9193     327.677     634.723
        0.29     71.4521     304.506     590.491
         0.3     66.8483     285.186     554.479
        0.32     59.0754     252.872     495.622
        0.34     51.9928     223.056     439.593
        0.36     45.8441     197.012     389.934
        0.38     40.7206     175.507     349.809
         0.4     36.2385     156.615     314.108
        0.43     30.5525     132.468     267.469
        0.46     25.9472     112.921     229.594
         0.5     21.1106     92.2873     188.862
        0.55     16.6426     73.0899     150.196
        0.62     12.6685     55.3211      111.67
         0.7     9.72555      42.188     83.8871
        0.85     6.55829     27.9349     53.8257
           1     4.62577      19.555      37.198
         1.2     3.02994      12.801     24.3312
         1.5     1.78663     7.54841     14.3476
           2    0.891894     3.76944     7.17083
           4    0.152919     0.64694     1.23458
          10   0.0197395   0.0812513    0.145145
