#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005  -0.0035544   0.0316689  -0.0393248  -0.0011454  -0.0393053     1.17945    -2.66874 -0.00428805    -3.04294     1.48967     3.39688     1.56837 0.000623049 0.000218843 0.000134176 0.000170542 0.000104562 7.55745e-05         105  -0.0206496 -0.00536217
       0.001  -0.0255952    0.100826   -0.156781 -0.00830999    -0.15678  -0.0347893    -1.48581  -0.0313128    -1.41026    0.304202    0.989061    0.954426  0.00483085  0.00167109   0.0010136  0.00130226 0.000789892  0.00056759     104.999  -0.0556357  -0.0144463
       0.004    -1.26551    -0.41055     -2.3865   -0.411039    -2.40095    -9.00514     15.8566    -1.57524     10.8008    -7.65399    -9.87409    -2.30062    0.263137   0.0882368   0.0531946   0.0687436   0.0414381   0.0296339     105.022     1.45433    0.377745
       0.007    -5.44134    -5.38803    -6.69459    -1.76445    -6.77628    -22.5496     37.1682    -6.77337     22.7585    -17.2389    -19.3226    -1.97275      1.1088    0.371209    0.223139    0.289281    0.173734    0.124231     104.922    -4.49972    -1.16855
        0.01    -12.7706     -16.214    -12.1777    -4.13441    -12.3651    -65.8682     118.106    -15.8801     90.7556     -55.168    -82.1845    -25.7646     2.91678    0.975521    0.586207    0.760215    0.456827    0.326584     105.567      35.946     9.33738
        0.02    -49.5878     -79.566    -30.1341    -15.9259    -30.2323     -216.72     374.712    -61.2573     305.283    -166.114    -243.155    -72.7823     12.2667     4.09685      2.4605     3.19264     1.91744     1.37027     106.239     79.5656     20.6681
        0.03    -79.9847    -132.484    -39.4741    -26.0097    -37.8691    -364.354     645.152    -100.168     533.761    -262.636    -373.687    -100.488     21.9973     7.33966     4.40665      5.7196     3.43406     2.45404     105.842     55.3187     14.3699
        0.04    -94.6872    -152.107    -41.4227    -31.8943    -37.2152    -507.303     934.997    -122.955      796.81     -365.28    -523.279    -141.034     29.7191     9.91036     5.94952     7.72305     4.63649     3.31327     105.481      33.498       8.702
        0.05     -106.11     -168.51    -38.8522    -36.8151    -31.9799    -655.104     1240.64    -142.086     1083.39    -474.469    -693.687    -196.711     37.6362     12.5409     7.52722     9.77302     5.86589     4.19149     105.368     27.5408     7.15434
        0.06    -121.989    -202.823    -31.4104    -42.4611    -21.5001    -811.682     1536.08    -164.191     1367.83    -578.027    -861.327    -255.462     47.2764      15.726     9.43254     12.2551     7.35071      5.2506     105.119     13.5755     3.52714
        0.07    -134.996    -235.509    -18.7383    -47.0447    -5.02091    -972.937     1837.01    -182.355     1667.25    -682.914    -1041.47     -325.52     56.8195     18.8569     11.2995      14.695      8.8056      6.2866     105.074     12.6258     3.28045
        0.08    -133.705    -232.389    -3.37659    -48.2277     14.4876    -1098.61     2119.31    -187.252     1953.65    -779.825    -1212.84    -396.237     62.7971     20.8097     12.4621     16.2167     9.71156     6.93105     104.967      8.0922       2.103
        0.09    -119.082    -192.241     10.9737    -46.4677     32.3927    -1180.82     2373.26    -180.403     2213.26    -870.036    -1377.66    -467.684     64.8205     21.4874     12.8707     16.7449       10.03      7.1593     104.831      2.0509    0.534041
         0.1    -104.119    -150.751     22.3945     -44.446      46.374     -1253.4     2608.84    -172.353     2453.38    -959.351    -1545.13    -543.831     66.1307     21.9525     13.1584     17.1074     10.2542     7.32245     104.858     6.39105     1.66148
        0.11    -99.0151    -138.919      31.816     -44.044     57.6404    -1338.77      2811.4    -170.808     2660.17    -1038.99    -1697.05    -614.338     69.6732     23.1282     13.8635     18.0236     10.8037     7.71511     104.706   -0.180661  -0.0451543
        0.12    -102.477    -154.486     41.2249    -44.9532     68.8038    -1450.15     3008.88    -174.771     2863.28    -1118.19    -1850.79    -687.469     75.5872     25.0261     14.9843     19.5026     11.6771     8.33353     104.712     3.24532    0.844928
