#          k           1          b1       b1*b1
      0.0005     150.238     642.628     1236.95
       0.001     288.582     1234.38     2375.97
       0.004     951.858     4071.47     7836.89
       0.007     1382.95     5915.43     11386.2
        0.01     1645.11      7036.8     13544.6
        0.02     1791.28     7662.04     14748.2
        0.03      1460.4     6246.83     12024.5
        0.04     1119.13     4787.12     9214.98
        0.05     911.014     3896.95     7501.62
        0.06      801.01      3426.5     6596.32
        0.07     712.799     3049.33     5870.78
        0.08     606.436      2594.4     4995.14
        0.09     494.929     2117.23     4075.73
         0.1     408.221     1746.04        3360
        0.11     356.846     1526.22     2936.63
        0.12     328.772     1406.47     2707.47
        0.13     304.457     1302.94      2510.1
        0.14     272.827      1167.8     2250.56
        0.15     237.049     1014.44     1954.04
        0.16     206.248     882.249     1697.91
        0.17     185.402     793.046     1526.18
        0.18     172.418      738.02     1422.46
        0.19     161.959     694.015     1340.82
         0.2     149.958     643.085      1244.5
        0.21     136.177     584.004     1130.24
        0.22     123.124      527.81     1020.67
        0.23     112.595      482.64     933.284
        0.24     104.703     449.172     870.237
        0.25     98.3342     422.496      821.42
        0.26     92.1562     396.525     773.475
        0.27     85.7803      369.38     721.851
        0.28     79.4909     342.335     669.255
        0.29     73.8069     317.869     621.602
         0.3     68.9722     297.245     582.281
        0.32     60.9099     263.256     519.327
        0.34     53.7108     232.595      461.04
        0.36     47.4346     205.631     408.682
        0.38     42.1928     183.316     366.289
         0.4     37.6413      163.91     329.199
        0.43      31.884     139.163     280.777
        0.46     27.2202     119.142     241.582
         0.5     22.3196     98.0022     199.518
        0.55     17.7838     78.3064     159.673
        0.62     13.6533     59.8033     120.102
         0.7     10.5299     45.8333       90.85
        0.85     7.03212     30.2117     58.5678
           1       4.914     21.0214     40.4574
         1.2     3.21664     13.7578     26.4695
         1.5     1.89752     8.11549     15.6143
           2    0.947436     4.05377     7.80617
           4    0.162527    0.696073     1.34491
          10   0.0213423   0.0889047    0.160508
