#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005  -0.0101247   0.0618089  -0.0785252 -0.00222378  -0.0784786  -0.0337976   0.0245847 -0.000306746   0.0243843  0.00707259   0.0145825  0.00754752 3.88335e-06 0.000451163 0.000384433 0.000351587 0.000299826 0.000248778 -0.000248849  -0.0173261 -0.00448192
       0.001  -0.0747129    0.188349    -0.31324  -0.0163539   -0.313325   -0.154218     0.11858 -0.00103221    0.117894    0.017956   0.0377365   0.0198681 0.000112473  0.00334659  0.00283917  0.00260796  0.00200317  0.00183355 -0.000821643  -0.0465707  -0.0120252
       0.004    -3.76104    -1.56581    -4.75503   -0.818067    -4.77941     -3.9451     3.68446  -0.0174113     3.72578   -0.608741    -1.18858   -0.577372   0.0104097    0.172608     0.14712    0.134511    0.114736   0.0953506   0.0187898     1.22746     0.31945
       0.007    -16.2136    -14.0603    -13.2655    -3.51721    -13.3911    -9.49007     4.30246   -0.049335     4.66732     1.58151     3.24132     1.66661 -0.00605231    0.747563    0.641428    0.582456     0.49963    0.416547  -0.0661188    -3.80264    -0.98361
        0.01    -38.1095    -40.2996    -23.9847    -8.24145    -24.2339     -37.177     43.3152  -0.0972959     44.5721    -14.0758    -27.9772    -13.8846    0.175373     1.87436     1.59164     1.46069     1.24038     1.03039    0.478683     30.3105     7.87733
        0.02    -147.979    -189.995    -57.0537    -31.7206     -56.117    -110.004     119.028   -0.200629      128.88    -31.2873    -62.1304    -30.7869    0.400472     8.00426     6.82708     6.23765     5.32013     4.42645     1.04104     66.8328     17.3827
        0.03    -237.919    -312.011    -70.0571    -51.7081    -63.7719    -145.416     157.153   -0.156399     182.176    -22.5064    -44.4839    -21.9008    0.325741     14.4835     12.3864     11.2869     9.65258     8.03771    0.705698     46.2811     12.0718
        0.04     -280.21    -353.784    -67.1712     -63.281    -53.4689    -155.242     199.104   -0.122558     240.994     -14.522    -28.6422     -14.046    0.266556     19.6034      16.778     15.2768     13.0749     10.8899    0.403778     27.9609     7.35242
        0.05    -312.677    -387.057    -55.1724    -72.9232    -33.9766    -164.509      249.13  -0.0233891      307.68    -12.2567    -24.4467    -12.1273     0.25251     24.8036     21.2322     19.3292     16.5461     13.7811    0.308526     22.8058     6.06064
        0.06    -358.796    -461.176     -33.322    -83.9675    -3.89421    -179.004     289.589    0.469004     364.562    -6.76252    -13.9595    -7.17692   0.0825746     31.0997     26.6281     24.2357      20.751      17.282    0.104824     11.2645     3.12497
