#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
      0.0005 -0.00355441   0.0316689  -0.0393249 -0.00114539  -0.0393053     1.17946    -2.66874 -0.00428806    -3.04294     1.48967     3.39687     1.56837 0.000623047 0.000218843 0.000134176 0.000170542 0.000104562 7.55746e-05         105  -0.0206496 -0.00536217
       0.001  -0.0255952    0.100826    -0.15678    -0.00831   -0.156781  -0.0347892    -1.48582  -0.0313128    -1.41026    0.304202    0.989061    0.954426  0.00483083  0.00167109   0.0010136  0.00130226 0.000789892 0.000567591     104.999  -0.0556357  -0.0144463
       0.004     -1.2655    -0.41055     -2.3865    -0.41104    -2.40095    -9.00515     15.8566    -1.57525     10.8008    -7.65399     -9.8741    -2.30062    0.263138   0.0882368   0.0531946   0.0687436   0.0414381   0.0296339     105.022     1.45433    0.377745
       0.007    -5.44134    -5.38803     -6.6946    -1.76445    -6.77628    -22.5496     37.1682    -6.77337     22.7585    -17.2389    -19.3227    -1.97275      1.1088     0.37121    0.223139    0.289281    0.173734    0.124231     104.922    -4.49972    -1.16855
        0.01    -12.7706     -16.214    -12.1777    -4.13441     -12.365    -65.8683     118.106    -15.8801     90.7557    -55.1681    -82.1845    -25.7646     2.91678    0.975521    0.586207    0.760215    0.456827    0.326584     105.567      35.946     9.33739
        0.02    -49.5878     -79.566    -30.1342    -15.9259    -30.2322     -216.72     374.712    -61.2572     305.283    -166.114    -243.155    -72.7823     12.2667     4.09685      2.4605     3.19264     1.91744     1.37027     106.239     79.5656     20.6681
        0.03    -79.9847    -132.484    -39.4742    -26.0097    -37.8692    -364.354     645.152    -100.168     533.762    -262.636    -373.688    -100.488     21.9973     7.33966     4.40665      5.7196     3.43406     2.45404     105.842     55.3187     14.3699
        0.04    -94.6872    -152.108    -41.4227    -31.8943    -37.2152    -507.303     934.997    -122.955     796.811     -365.28    -523.279    -141.034     29.7191     9.91036     5.94952     7.72305     4.63649     3.31327     105.481      33.498       8.702
        0.05     -106.11     -168.51    -38.8522    -36.8151    -31.9799    -655.104     1240.64    -142.086      1083.4     -474.47    -693.687    -196.711     37.6362     12.5409     7.52723     9.77303     5.86589     4.19149     105.368     27.5408     7.15434
        0.06    -121.989    -202.823    -31.4105    -42.4612    -21.5002    -811.683     1536.08    -164.191     1367.83    -578.027    -861.327    -255.462     47.2764      15.726     9.43254     12.2551     7.35072      5.2506     105.119     13.5755     3.52714
        0.07    -134.996     -235.51    -18.7383    -47.0448    -5.02093    -972.938     1837.01    -182.355     1667.25    -682.914    -1041.47     -325.52     56.8195     18.8569     11.2995      14.695      8.8056      6.2866     105.074     12.6258     3.28045
        0.08    -133.705    -232.389    -3.37661    -48.2278     14.4876     -1098.6     2119.31    -187.252     1953.65    -779.825    -1212.83    -396.237     62.7971     20.8097     12.4621     16.2167     9.71156     6.93105     104.967     8.09221       2.103
        0.09    -119.081    -192.241     10.9737    -46.4677     32.3927    -1180.81     2373.26    -180.403     2213.26    -870.036    -1377.66    -467.683     64.8205     21.4874     12.8707     16.7449       10.03      7.1593     104.831      2.0509    0.534042
         0.1    -104.119    -150.751     22.3945     -44.446      46.374     -1253.4     2608.84    -172.352     2453.39    -959.351    -1545.13    -543.831     66.1307     21.9526     13.1584     17.1075     10.2542     7.32244     104.858     6.39105     1.66148
        0.11    -99.0151    -138.919      31.816    -44.0439     57.6403    -1338.77      2811.4    -170.808     2660.17    -1038.98    -1697.05    -614.338     69.6732     23.1282     13.8635     18.0236     10.8037     7.71509     104.706   -0.180656  -0.0451534
        0.12    -102.476    -154.486     41.2249    -44.9532     68.8037    -1450.15     3008.88    -174.771     2863.28    -1118.18    -1850.78    -687.469     75.5872     25.0261     14.9843     19.5026     11.6772     8.33356     104.712     3.24532    0.844928
        0.13    -104.917    -168.835      51.351    -45.5222     80.8522    -1555.42     3192.68     -177.55      3054.6     -1191.1    -1994.17    -756.842     81.1526     26.7787     16.0102     20.8683     12.4766      8.8968     104.655      2.9507    0.768672
        0.14    -98.7282    -156.621     61.3526    -44.5501     92.7354    -1626.66     3361.19    -173.966     3231.84    -1258.63    -2129.05    -823.798      83.791      27.613     16.4997     21.5186     12.8581     9.16595     104.552   -0.057912  -0.0124298
        0.15    -85.5512    -121.511     69.8996    -42.3883     102.785     -1668.3     3520.57    -165.223     3398.84    -1325.01    -2263.38    -891.291     83.6997     27.6324     16.5242     21.5337     12.8772     9.18361      104.58     5.15298     1.34133
        0.16    -73.0828    -87.5132     76.4747    -40.2675     110.353    -1698.45     3655.12    -156.478     3540.36    -1383.75    -2383.92    -952.946     83.1545     27.5358     16.4882     21.4584     12.8491      9.1703     104.448    0.527442     0.14022
        0.17    -66.6481    -72.7684     81.6774     -38.982     116.172    -1747.39     3782.32    -151.322     3673.16    -1441.99    -2504.29     -1015.2     84.2476     27.9256      16.729     21.7621     13.0367     9.30656      104.44     3.69586    0.963486
        0.18    -65.4048    -75.5165     86.3735    -38.4068     121.368    -1812.97     3898.85    -149.415     3795.29    -1496.19    -2617.18    -1074.01     86.9908     28.7676     17.2166     22.4183     13.4167     9.57284     104.389     4.15373      1.0827
