#          k           1          b1       b1*b1
      0.0005     429.252     1285.26 1.54634e-07
       0.001     824.523     2468.77  2.2244e-06
       0.004      2719.6     8142.96 0.000237141
       0.007     3951.29     11830.9 0.000265005
        0.01     4700.32     14073.6 -0.00440406
        0.02     5117.89     15323.9   -0.115092
        0.03     4172.45     12493.2   -0.176412
        0.04     3197.31     9573.65    0.202943
        0.05     2602.64     7793.33    0.719712
        0.06     2288.31     6852.39    0.463411
        0.07     2036.23     6097.78   -0.561167
        0.08     1732.41     5188.26   -0.700753
        0.09      1414.1      4235.3     1.21209
         0.1     1166.64     3494.39      3.5115
        0.11     1019.95     3054.98     3.09659
        0.12     939.502     2813.83    -1.11466
        0.13     869.728     2604.67    -6.26365
        0.14     779.333     2333.93    -7.72655
        0.15     677.388     2028.74    -4.41436
        0.16     589.718     1766.23   -0.367616
        0.17     530.115     1587.59   -0.717296
        0.18     492.584     1474.88    -6.56878
        0.19     462.167      1383.5    -14.2526
         0.2     427.593     1279.84    -18.2774
        0.21     388.366     1162.46    -16.6055
        0.22     351.318     1051.62    -12.9378
        0.23     321.303     961.699    -11.9228
        0.24     298.507     893.238     -15.521
        0.25     279.868     837.139    -21.9172
        0.26     261.907     783.176     -26.904
        0.27      243.61      728.35    -28.2596
        0.28     225.748     674.925      -26.75
        0.29     209.615     626.663    -25.2876
         0.3     195.734     585.015    -26.2817
        0.32     172.332      514.67    -32.4658
        0.34     151.674     452.794    -34.1016
        0.36     133.797     399.355    -32.8679
        0.38     118.705     354.135    -34.2865
         0.4     105.621     315.001    -34.8854
        0.43     89.1854     266.039    -32.8101
        0.46      75.833     226.331    -31.0733
         0.5      61.845     184.723     -27.664
        0.55     49.0057     146.589    -22.7925
        0.62     37.7618      113.32    -12.9222
         0.7     29.3629     88.0195    -7.00166
        0.85     19.9819     59.8046    -1.23816
           1     14.0545      42.069  -0.0917027
         1.2     9.20359     27.5449  -0.0395072
         1.5     5.42925      16.248  -0.0263918
           2      2.7096      8.1083  -0.0307056
           4     0.46365     1.38601  -0.0185896
          10   0.0638038    0.192523   0.0297045
