#             k              1             b1             b2             b3             b4          b1*b1          b1*b2          b1*b3          b1*b4          b2*b2          b2*b4          b4*b4          b1*b5          b1*b6          b1*b7             b5             b6             b7             b8             b9            b10
           0.01       -1.92946      0.0709631              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.162723              0              0              0
      0.0104762       -2.15196      0.0850524              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.181548              0              0              0
       0.010975       -2.37807       0.102011              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.202266              0              0              0
      0.0114976       -2.62228        0.12221              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.225012              0              0              0
       0.012045       -2.90569       0.146156              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.249925              0              0              0
      0.0126186       -3.21324       0.174641              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.277139              0              0              0
      0.0132194       -3.52245       0.208507              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.306785              0              0              0
      0.0138489       -3.85154       0.248496              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.338982              0              0              0
      0.0145083       -4.22611       0.295514              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.373834              0              0              0
      0.0151991       -4.62492        0.35081              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.411427              0              0              0
      0.0159228         -5.018       0.415718              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.451829              0              0              0
       0.016681        -5.4271       0.491481              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.495084              0              0              0
      0.0174753       -5.88215       0.579517              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.541193              0              0              0
      0.0183074       -6.35366       0.681637              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.590117              0              0              0
      0.0191791       -6.80193       0.799744              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.641775              0              0              0
      0.0200923       -7.25216       0.935563              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.696052              0              0              0
       0.021049       -7.73879        1.09093              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.752798              0              0              0
      0.0220513       -8.22243        1.26809              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.811785              0              0              0
      0.0231013       -8.65196        1.46925              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.872732              0              0              0
      0.0242013       -9.05701         1.6962              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0        0.93534              0              0              0
      0.0253536       -9.47899        1.95058              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0       0.999333              0              0              0
      0.0265609       -9.86968        2.23438              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0        1.06447              0              0              0
      0.0278256       -10.1685        2.54927              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0        1.13042              0              0              0
      0.0291505       -10.4137          2.896              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0        1.19687              0              0              0
      0.0305386       -10.6591         3.2748              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0        1.26365              0              0              0
      0.0319927       -10.8534         3.6861              0             -0              0              0              0             -0              0             -0             -0             -0              0              0              0              0              0        1.33089              0              0              0
