#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.01    -14.2524    -19.0537    -14.0343    -5.08854    -14.2236    -66.7082     119.319    -20.6546     85.2267    -54.5242    -72.2711    -16.7118     3.36553     1.12756    0.677999    0.831439    0.502443    0.359336     105.135    0.110104   0.0271646
   0.0104566    -15.7824    -21.6577    -15.0562    -5.61903    -15.2619    -72.8797     129.656    -22.8094     92.9585    -59.0541    -78.3262    -18.0948      3.7302     1.24966    0.751883     0.92189    0.557451    0.398716     105.142    0.117279   0.0289683
    0.010934    -17.3911    -24.3051    -16.1286    -6.19469    -16.3509    -79.2382     140.845    -25.1484     101.389    -63.9288    -84.8595    -19.5939     4.12954     1.38339    0.832292      1.0205    0.613713    0.441076     105.151    0.124639   0.0307952
   0.0114332    -19.1238    -27.1676    -17.2532    -6.81799    -17.4918    -86.0033     152.837    -27.6818     110.464    -69.1184    -91.8017    -21.1681      4.5646     1.52892    0.919277     1.12739    0.677855    0.486337     105.158    0.131021   0.0323502
   0.0119553    -21.0558     -30.544    -18.4299    -7.49058    -18.6842    -93.5871     165.564    -30.4166     120.114    -74.5831    -99.0662    -22.7689     5.03584     1.68519     1.01287     1.24262     0.74687    0.534537     105.162    0.135236   0.0332742
   0.0125011    -23.1585    -34.3105    -19.6585     -8.2139    -19.9289    -101.764     178.982    -33.3585     130.295    -80.2937    -106.588    -24.3591     5.54408     1.85321     1.11337     1.36652    0.820977    0.586843     105.161    0.136435   0.0335567
   0.0130719    -25.3543    -38.1414    -20.9371     -8.9899     -21.219    -110.036     193.125    -36.5145     141.038    -86.2555    -114.366    -25.9315      6.0911     2.03557     1.22281     1.49985    0.900724    0.643702     105.155    0.134524   0.0330039
   0.0136688    -27.6743    -42.1597    -22.2595    -9.82031    -22.5522     -118.65     208.129    -39.8889      152.48    -92.5201    -122.494    -27.5241     6.67989     2.23264     1.34069     1.64569     0.98695    0.705223     105.145    0.130465   0.0319455
   0.0142929    -30.2142    -46.7571    -23.6207    -10.7038    -23.9189    -128.331     224.248    -43.4841     164.876    -99.1918    -131.167    -29.2255     7.31459     2.44457     1.46799     1.80206     1.08239    0.772198     105.133     0.12625   0.0309023
   0.0149454    -32.9536    -51.8543    -25.0217    -11.6427    -25.3073    -139.123     241.818    -47.3008     178.568    -106.411    -140.651    -31.1588     8.00027     2.67321     1.60578     1.97116       1.184    0.845344     105.124     0.12438   0.0305066
   0.0156278    -35.7818    -57.0035    -26.4216    -12.6363    -26.7065    -150.502      261.17    -51.3382     193.888    -114.317    -151.205    -33.4427     8.74167     2.92135      1.7549     2.15414     1.29402     0.92502     105.119    0.126848   0.0312361
   0.0163414    -38.6999    -62.2222    -27.8443    -13.6818    -28.1062    -162.596     282.485    -55.5905     211.022    -122.974    -162.958    -36.1343     9.54098      3.1882     1.91568     2.35141     1.41258     1.01091     105.125    0.133926   0.0331102
   0.0170875    -41.8199    -67.9893    -29.2729    -14.7761    -29.4986    -176.135       305.7    -60.0454     229.917    -132.342    -175.818    -39.1857     10.3964     3.47378     2.08736     2.56149     1.53917     1.10022     105.134    0.143414   0.0355184
   0.0178677    -45.1391    -74.3185    -30.7033    -15.9168    -30.8577    -191.022     330.518    -64.6858     250.284    -142.266    -189.484    -42.4467     11.3023       3.776      2.2686     2.78483     1.67282      1.1957     105.143    0.151151   0.0373803
   0.0186835    -48.5091     -80.632    -32.1316    -17.0959    -32.2418    -206.225     356.565     -69.489     271.758    -152.558    -203.586    -45.7362     12.2513     4.09134     2.45736     3.01687       1.812     1.29509     105.143    0.153099   0.0377753
   0.0195366    -51.8837    -86.7759    -33.5507    -18.3093    -33.5795    -221.482     383.693    -74.4305     294.203    -163.135    -217.958    -48.9717     13.2386      4.4215     2.65488     3.26032     1.95765     1.39909     105.133    0.148298   0.0363469
   0.0204286    -55.3854    -93.2856    -34.9457    -19.5503    -34.8731    -237.834      412.23    -79.4851     317.957    -174.129     -232.86    -52.2778      14.265     4.76371     2.86074     3.51265     2.10898      1.5072     105.114     0.14067   0.0344048
   0.0213613     -59.037    -100.301    -36.2961     -20.812    -36.0974    -255.933     442.945    -84.6268       343.8    -185.876    -248.947      -55.97     15.3366     5.12124      3.0752     3.77593     2.26759     1.62059     105.098    0.137365   0.0337239
   0.0223366    -62.6527    -107.111    -37.5823    -22.0883     -37.228    -275.808     476.582    -89.8228     372.489    -198.701    -266.856    -60.3565     16.4583     5.49552     3.30077     4.05226     2.43392     1.73955     105.095    0.143331   0.0354512
   0.0233565    -66.1215    -113.326    -38.7939    -23.3662    -38.2528    -294.939     513.227    -95.0338     404.124    -212.632    -286.639    -65.4637     17.6249     5.88926     3.53806     4.34259     2.60943     1.86536     105.104    0.155751   0.0386721
   0.0244229    -69.5721    -119.525    -39.9314    -24.6369    -39.1735    -315.957     552.085    -100.214     437.919     -227.29     -307.57     -70.945     18.8196      6.2833     3.77324     4.63316      2.7823     1.98847     105.113    0.164584    0.040727
    0.025538    -73.0779    -126.068    -40.9973    -25.8882    -39.9941    -338.352     592.227    -105.323     472.959    -242.241    -328.809    -76.3974     20.0241      6.6836     4.01313     4.92831     2.95885     2.11447     105.106    0.164245   0.0397566
   0.0267041    -76.4458    -132.195     -41.981    -27.1146    -40.7016    -361.056     633.724     -110.33     509.326    -257.509    -350.409    -81.8515     21.2342     7.08649     4.25479     5.22542     3.13741     2.24153     105.082    0.156573   0.0373186
   0.0279233    -79.5013    -137.255    -42.8574    -28.3081    -41.2683    -383.828     677.981    -115.204     548.433    -273.734    -373.628    -87.9214     22.4621     7.49556     4.50057     5.52705     3.31862     2.37159     105.062    0.151796   0.0373863
