#             k              1             b1          b1*b1
           0.01              0              0              0
      0.0104762              0              0              0
       0.010975              0              0              0
      0.0114976              0              0              0
       0.012045              0              0              0
      0.0126186              0              0              0
      0.0132194              0              0              0
      0.0138489              0              0              0
      0.0145083              0              0              0
      0.0151991              0              0              0
      0.0159228              0              0              0
       0.016681              0              0              0
      0.0174753              0              0              0
      0.0183074              0              0              0
      0.0191791              0              0              0
      0.0200923              0              0              0
       0.021049              0              0              0
      0.0220513              0              0              0
      0.0231013              0              0              0
      0.0242013              0              0              0
      0.0253536              0              0              0
      0.0265609              0              0              0
      0.0278256              0              0              0
      0.0291505              0              0              0
      0.0305386              0              0              0
      0.0319927              0              0              0
       0.033516              0              0              0
      0.0351119              0              0              0
      0.0367838              0              0              0
      0.0385353              0              0              0
      0.0403702              0              0              0
      0.0422924              0              0              0
      0.0443062              0              0              0
      0.0464159              0              0              0
       0.048626              0              0              0
      0.0509414              0              0              0
       0.053367              0              0              0
      0.0559081              0              0              0
      0.0585702              0              0              0
      0.0613591              0              0              0
      0.0642807              0              0              0
      0.0673415              0              0              0
       0.070548              0              0              0
      0.0739072              0              0              0
      0.0774264              0              0              0
      0.0811131              0              0              0
      0.0849753              0              0              0
      0.0890215              0              0              0
      0.0932603              0              0              0
       0.097701              0              0              0
       0.102353              0              0              0
       0.107227              0              0              0
       0.112332              0              0              0
       0.117681              0              0              0
       0.123285              0              0              0
       0.129155              0              0              0
       0.135305              0              0              0
       0.141747              0              0              0
       0.148497              0              0              0
       0.155568              0              0              0
       0.162975              0              0              0
       0.170735              0              0              0
       0.178865              0              0              0
       0.187382              0              0              0
       0.196304              0              0              0
       0.205651              0              0              0
       0.215443              0              0              0
       0.225702              0              0              0
       0.236449              0              0              0
       0.247708              0              0              0
       0.259502              0              0              0
       0.271859              0              0              0
       0.284804              0              0              0
       0.298365              0              0              0
       0.312572              0              0              0
       0.327455              0              0              0
       0.343047              0              0              0
       0.359381              0              0              0
       0.376494              0              0              0
       0.394421              0              0              0
       0.413201              0              0              0
       0.432876              0              0              0
       0.453488              0              0              0
       0.475081              0              0              0
       0.497702              0              0              0
       0.521401              0              0              0
       0.546228              0              0              0
       0.572237              0              0              0
       0.599484              0              0              0
       0.628029              0              0              0
       0.657933              0              0              0
       0.689261              0              0              0
       0.722081              0              0              0
       0.756463              0              0              0
       0.792483              0              0              0
       0.830218              0              0              0
       0.869749              0              0              0
       0.911163              0              0              0
       0.954548              0              0              0
              1              0              0              0
