#          k           1          b1       b1*b1
        0.01     4949.28     15661.3  -0.0116966
   0.0104566     5027.99     15910.4  -0.0144561
    0.010934     5101.41     16142.7  -0.0180976
   0.0114332     5168.76     16355.9  -0.0225233
   0.0119553     5229.55     16548.2  -0.0280372
   0.0125011     5283.05     16717.5  -0.0334248
   0.0130719     5328.72       16862  -0.0402284
   0.0136688     5365.88     16979.6  -0.0479747
   0.0142929     5393.82       17068  -0.0566615
   0.0149454     5411.88     17125.2  -0.0622913
   0.0156278     5419.43     17149.1  -0.0774243
   0.0163414     5415.95     17138.1  -0.0895844
   0.0170875     5400.92     17090.5   -0.103083
   0.0178677     5373.79     17004.7   -0.117956
   0.0186835     5334.16     16879.3   -0.134087
   0.0195366     5281.78     16713.5    -0.15112
   0.0204286     5216.63     16507.4   -0.168457
   0.0213613     5138.76       16261   -0.185348
   0.0223366     5048.17     15974.3   -0.201046
   0.0233565     4945.13     15648.3   -0.214902
   0.0244229     4830.27     15284.8   -0.226123
    0.025538     4704.64     14887.3   -0.233254
   0.0267041      4569.5     14459.7    -0.23325
   0.0279233     4425.86     14005.2   -0.224881
   0.0291983      4274.9     13527.5   -0.204982
   0.0305314     4118.36     13032.2   -0.171781
   0.0319254     3958.57     12526.6   -0.123492
   0.0333831     3798.16       12019  -0.0584709
   0.0349073     3638.81     11514.8   0.0255628
   0.0365011     3482.11       11019    0.129408
   0.0381677     3330.05     10537.8     0.25141
   0.0399104     3185.01       10079    0.388216
   0.0417327     3049.08     9648.88    0.534359
   0.0436381     2923.21     9250.64     0.68089
   0.0456306     2807.96     8886.02    0.814516
    0.047714     2703.64     8555.94    0.923727
   0.0498925      2609.7     8258.77     0.99119
   0.0521706     2525.04     7990.84    0.994983
   0.0545526     2447.59     7745.88    0.925043
   0.0570434     2374.71     7515.32    0.769283
   0.0596479     2303.17     7289.02    0.530461
   0.0623713     2229.25     7055.17    0.233067
   0.0652191     2149.44     6802.67  -0.0854021
   0.0681969     2060.58     6521.54   -0.340827
   0.0713107     1960.79     6205.85   -0.444372
   0.0745666     1849.72     5854.46   -0.280718
   0.0779712     1729.18     5473.09    0.233488
   0.0815313     1602.85     5073.41     1.16438
   0.0852539     1476.23     4672.83      2.4585
   0.0891464     1355.43     4290.62     3.97611
   0.0932167     1246.32     3945.37     5.45553
   0.0974729     1153.25     3650.85     6.55018
    0.101923     1078.08      3412.9     6.88454
    0.106577     1019.74     3228.18     6.18222
    0.111443     974.153     3083.78     4.37632
    0.116531     934.729     2958.88     1.77804
    0.121852     893.877     2829.48   -0.882642
    0.127416     845.306      2675.7    -2.47324
    0.133233     786.396     2489.28    -1.95814
    0.139317     719.564     2277.86     1.03164
    0.145678     651.462     2062.43     5.72129
    0.152329     589.904     1867.67       10.31
    0.159284     540.328     1710.72     12.6848
    0.166557     503.428     1593.78     11.5561
    0.174162     475.039     1503.71     7.46723
    0.182113     448.402     1419.24     3.04954
    0.190428     418.014     1323.05     1.82405
    0.199123     382.988     1212.35     5.54882
    0.208215     347.332     1099.73     12.3098
    0.217722      316.04     1000.81     17.4353
    0.227662     291.166     922.021     17.6434
    0.238057     270.601     856.766     14.0041
    0.248927     250.988     794.626     11.4658
    0.260292     230.572     730.136     13.7313
    0.272177     210.626     667.211     18.8567
    0.284604     192.923     611.263     21.6635
    0.297598      177.56     562.564     20.4413
    0.311186     163.459     517.857     18.7517
    0.325395     150.069     475.521     19.8146
    0.340252     137.675     436.362     21.8912
    0.355787     126.373     400.545     21.8602
    0.372032     116.045     367.757     20.7045
    0.389018     106.516     337.526     20.2848
     0.40678     97.7554      309.74     20.1198
    0.425353     89.6718     284.049     19.1197
    0.444774     82.2146     260.326     17.8368
    0.465082       75.32     238.409       16.66
    0.486317     68.9017     218.003     15.1684
    0.508521     62.9278      199.01     13.4735
     0.53174      57.337     181.259     11.6665
    0.556018     52.1186     164.706     9.84669
    0.581405      47.244      149.27     8.01412
    0.607951     42.7038     134.912     6.26397
    0.635709     38.5149     121.682      4.7277
    0.664735      34.676     109.566     3.32838
    0.695086     31.2016      98.608     2.23893
    0.726822     28.1103     88.8565     1.52735
    0.760008     25.4227     80.3867     1.29432
    0.794709     23.1656     73.2813      1.4711
    0.830994     21.1051     66.7967     1.46614
