#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
         0.01        0.005        0.005  3.37546e+07  5.08783e+08  5.06552e+08  5.06552e+08  2.15287e+07   1.7801e+09  2.22005e+09  2.22005e+09   3.0523e+09  4.37841e+09  4.37841e+09      69272.1
         0.01        0.025        0.015         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan      69272.1
         0.01        0.045        0.035 -5.68582e+06    3.487e+08   5.1304e+08   5.1304e+08  2.16939e+07  1.49815e+09  2.24849e+09  2.24849e+09  2.54481e+09  4.43449e+09  4.43449e+09      69272.1
         0.01        0.065        0.055         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan      69272.1
         0.01        0.085        0.075         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan      69272.1
         0.01        0.105        0.095 -1.32294e+07  5.01935e+07  1.53479e+08  1.53479e+08  1.36119e+07  3.38981e+08  6.72648e+08  6.72648e+08  5.84696e+08   1.3266e+09   1.3266e+09      69272.1
         0.01        0.125        0.115  -6.6958e+06  6.34851e+07  1.18908e+08  1.18908e+08  1.26795e+07  3.32363e+08  5.21135e+08  5.21135e+08  5.84977e+08  1.02779e+09  1.02779e+09      69272.1
         0.01        0.145        0.135 -1.01091e+07  1.98991e+07  9.61927e+07  9.61927e+07   1.2047e+07  1.81967e+08  4.21582e+08  4.21582e+08  3.12403e+08  8.31446e+08  8.31446e+08      69272.1
         0.03        0.015        0.015  6.41794e+07  7.35681e+08  8.86489e+08  8.86489e+08   2.8289e+07  2.30908e+09   3.8852e+09   3.8852e+09  3.40587e+09  7.66241e+09  7.66241e+09      69272.1
         0.03        0.035        0.005  8.03978e+07  6.03769e+08  5.04209e+08  5.04209e+08  2.13426e+07  1.59564e+09  2.20979e+09  2.20979e+09  2.15026e+09  4.35816e+09  4.35816e+09      69272.1
         0.03        0.035        0.025  1.22024e+07  3.94496e+08  2.65687e+08  3.30925e+08   2.4263e+07  2.14252e+09  2.25418e+09  2.85706e+09  3.38888e+09  4.44571e+09   5.6347e+09      69272.1
         0.03        0.055        0.025  4.84064e+07  3.95365e+08  5.15146e+08  5.15146e+08  2.18835e+07  1.03877e+09  2.25772e+09  2.25772e+09  1.16555e+09  4.45269e+09  4.45269e+09      69272.1
         0.03        0.055        0.045  1.51354e+07  2.92606e+08  1.55405e+08  1.88835e+08  1.82735e+07  1.27483e+09  1.25946e+09  1.58334e+09  1.88711e+09  2.48391e+09  3.12268e+09      69272.1
         0.03        0.075        0.045  1.27718e+07  1.85213e+08  3.13802e+08  3.13802e+08  1.72281e+07  5.91902e+08   1.3753e+09   1.3753e+09  7.65361e+08  2.71237e+09  2.71237e+09      69272.1
         0.03        0.075        0.065  1.44817e+07  2.43472e+08  1.10376e+08  1.33809e+08  1.58847e+07  9.64389e+08  9.05555e+08  1.14489e+09  1.38132e+09  1.78594e+09  2.25795e+09      69272.1
         0.03        0.095        0.065      -181713  7.03682e+07  2.12243e+08  2.12243e+08  1.46877e+07  2.57451e+08  9.30193e+08  9.30193e+08  2.64606e+08  1.83453e+09  1.83453e+09      69272.1
         0.03        0.095        0.085  1.11884e+07   1.6907e+08  6.77232e+07  8.33417e+07  1.35226e+07  6.26426e+08  5.85561e+08  7.50785e+08  8.58283e+08  1.15485e+09   1.4807e+09      69272.1
         0.03        0.115        0.085 -4.25522e+06  2.83982e+07  1.49413e+08  1.49413e+08  1.29314e+07  1.35995e+08  6.54828e+08  6.54828e+08  1.18181e+08  1.29146e+09  1.29146e+09      69272.1
         0.03        0.115        0.105  8.28439e+06  1.20106e+08  4.44184e+07  5.54401e+07  1.19797e+07  4.36868e+08  3.99293e+08   5.1653e+08  5.88288e+08  7.87488e+08   1.0187e+09      69272.1
         0.03        0.135        0.105         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan      69272.1
         0.03        0.135        0.125   7.1682e+06  1.01664e+08  3.56874e+07  4.48832e+07  1.13529e+07  3.63986e+08  3.27732e+08  4.25999e+08  4.85283e+08  6.46355e+08  8.40158e+08      69272.1
         0.05        0.025        0.025  4.46462e+07  4.13906e+08  5.84309e+08  5.84309e+08  2.32717e+07    1.152e+09  2.56084e+09  2.56084e+09  1.35651e+09  5.05051e+09  5.05051e+09      69272.1
         0.05        0.045        0.005         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan         -nan      69272.1
         0.05        0.045        0.025  8.97145e+06  2.41701e+08  1.66632e+08  2.04507e+08  1.96617e+07  1.21189e+09  1.42018e+09   1.8131e+09  1.89652e+09  2.80089e+09  3.57581e+09      69272.1
         0.05        0.065        0.015  6.56048e+07  4.15771e+08  3.80314e+08  3.80314e+08  1.92985e+07  9.53406e+08  1.66679e+09  1.66679e+09  1.01372e+09  3.28726e+09  3.28726e+09      69272.1
         0.05        0.065        0.035  1.17557e+07  2.06441e+08  1.32057e+08  1.58153e+08  1.62528e+07  8.72661e+08  1.01523e+09  1.25679e+09  1.31449e+09  2.00224e+09  2.47865e+09      69272.1
