#             k              1             b1             b2             b3             b4          b1*b1          b1*b2          b1*b3          b1*b4          b2*b2          b2*b4          b4*b4          b1*b5          b1*b6          b1*b7             b5             b6             b7             b8             b9            b10
           0.01       -16.7305       -9.65983       0.446804             -0         0.6132       0.266537              0             -0              0             -0             -0             -0              0              0       0.621043              0       0.468816       0.639294              0              0              0
      0.0104762       -18.6498       -10.8268       0.521974             -0       0.716844       0.313781              0             -0              0             -0             -0             -0              0              0       0.693675              0       0.523644       0.714061              0              0              0
       0.010975       -20.6615       -11.9786       0.609039             -0        0.83692       0.369402              0             -0              0             -0             -0             -0              0              0       0.773757              0       0.584098       0.796497              0              0              0
      0.0114976       -22.8471        -13.224       0.709608             -0       0.975666       0.434454              0             -0              0             -0             -0             -0              0              0       0.861857              0       0.650603       0.887186              0              0              0
       0.012045        -25.324       -14.7232       0.825674             -0         1.1358       0.510293              0             -0              0             -0             -0             -0              0              0       0.958548              0       0.723593       0.986717              0              0              0
      0.0126186       -28.0176       -16.3615       0.959428             -0        1.32032       0.598864              0             -0              0             -0             -0             -0              0              0         1.0644              0       0.803497        1.09568              0              0              0
      0.0132194       -30.8132       -17.9671        1.11312             -0        1.53233       0.702221              0             -0              0             -0             -0             -0              0              0        1.17997              0       0.890744        1.21465              0              0              0
      0.0138489       -33.8124       -19.6806        1.28923             -0        1.77524       0.822255              0             -0              0             -0             -0             -0              0              0        1.30582              0       0.985743        1.34419              0              0              0
      0.0145083       -37.1565       -21.7011        1.49066             -0        2.05301       0.961225              0             -0              0             -0             -0             -0              0              0        1.44242              0        1.08886        1.48481              0              0              0
      0.0151991       -40.7362       -23.8695        1.72053             -0        2.36986        1.12207              0             -0              0             -0             -0             -0              0              0        1.59018              0        1.20041        1.63692              0              0              0
      0.0159228       -44.3939       -25.9597        1.98205             -0        2.73016        1.30791              0             -0              0             -0             -0             -0              0              0        1.74948              0        1.32065        1.80089              0              0              0
       0.016681       -48.2482       -28.1448        2.27866             -0        3.13858        1.52172              0             -0              0             -0             -0             -0              0              0        1.92057              0        1.44981        1.97701              0              0              0
      0.0174753       -52.4615       -30.6634        2.61414             -0        3.60022        1.76684              0             -0              0             -0             -0             -0              0              0        2.10362              0        1.58799        2.16544              0              0              0
      0.0183074       -56.8761       -33.2988        2.99246             -0        4.12039         2.0474              0             -0              0             -0             -0             -0              0              0        2.29858              0        1.73516        2.36613              0              0              0
      0.0191791       -61.2772       -35.7557        3.41756             -0        4.70436        2.36767              0             -0              0             -0             -0             -0              0              0        2.50528              0        1.89119         2.5789              0              0              0
      0.0200923       -65.7962       -38.2397        3.89347             -0        5.35749        2.73163              0             -0              0             -0             -0             -0              0              0        2.72335              0        2.05581        2.80338              0              0              0
       0.021049       -70.6141       -41.0303        4.42439             -0        6.08528        3.14351              0             -0              0             -0             -0             -0              0              0        2.95231              0        2.22866        3.03908              0              0              0
      0.0220513       -75.5142       -43.8396        5.01441             -0         6.8931        3.60826              0             -0              0             -0             -0             -0              0              0        3.19147              0         2.4092        3.28527              0              0              0
      0.0231013       -80.2139       -46.2909        5.66735             -0        7.78588        4.13081              0             -0              0             -0             -0             -0              0              0        3.43982              0        2.59667        3.54091              0              0              0
      0.0242013       -84.8593       -48.6262        6.38676             -0        8.76812        4.71526              0             -0              0             -0             -0             -0              0              0        3.69619              0        2.79019        3.80481              0              0              0
      0.0253536        -89.658       -51.1757        7.17599             -0        9.84402        5.36553              0             -0              0             -0             -0             -0              0              0        3.95937              0        2.98886        4.07572              0              0              0
      0.0265609       -94.3398       -53.5788        8.03792             -0        11.0171        6.08608              0             -0              0             -0             -0             -0              0              0         4.2283              0        3.19188        4.35256              0              0              0
      0.0278256       -98.5686       -55.3809        8.97471             -0        12.2899        6.88081              0             -0              0             -0             -0             -0              0              0        4.50189              0        3.39841        4.63419              0              0              0
      0.0291505       -102.534       -56.8895        9.98794             -0         13.664        7.75186              0             -0              0             -0             -0             -0              0              0        4.77867              0        3.60734         4.9191              0              0              0
      0.0305386         -106.5       -58.5107        11.0787             -0        15.1404        8.70048              0             -0              0             -0             -0             -0              0              0        5.05749              0        3.81782        5.20612              0              0              0
      0.0319927       -110.169       -59.8297        12.2474             -0        16.7194        9.72827              0             -0              0             -0             -0             -0              0              0          5.338              0        4.02958        5.49488              0              0              0
       0.033516       -113.206       -60.3539        13.4938             -0           18.4        10.8357              0             -0              0             -0             -0             -0              0              0        5.62119              0        4.24335        5.78639              0              0              0
      0.0351119       -115.937        -60.532        14.8172             -0        20.1811        12.0203              0             -0              0             -0             -0             -0              0              0        5.90855              0        4.46027        6.08219              0              0              0
      0.0367838       -118.756       -60.9242        16.2172             -0        22.0616        13.2787              0             -0              0             -0             -0             -0              0              0        6.20114              0        4.68115        6.38338              0              0              0
      0.0385353       -121.373       -61.0813        17.6936             -0        24.0409        14.6087              0             -0              0             -0             -0             -0              0              0        6.50136              0        4.90778        6.69242              0              0              0
      0.0403702       -123.479       -60.4989        19.2466             -0        26.1191        16.0074              0             -0              0             -0             -0             -0              0              0        6.81366              0        5.14353         7.0139              0              0              0
      0.0422924       -125.606       -59.8404        20.8778             -0         28.298        17.4688              0             -0              0             -0             -0             -0              0              0        7.14514              0        5.39376        7.35512              0              0              0
      0.0443062       -128.367       -59.9013        22.5908             -0        30.5825        18.9875              0             -0              0             -0             -0             -0              0              0        7.50249              0        5.66352        7.72298              0              0              0
      0.0464159       -131.494       -60.2206        24.3919             -0        32.9808        20.5635              0             -0              0             -0             -0             -0              0              0        7.89221              0         5.9577        8.12414              0              0              0
       0.048626       -134.643       -60.2124        26.2894             -0        35.5038        22.1991              0             -0              0             -0             -0             -0              0              0        8.32187              0        6.28205        8.56643              0              0              0
      0.0509414       -138.417       -60.6714        28.2948             -0        38.1662        23.8956              0             -0              0             -0             -0             -0              0              0        8.79853              0        6.64187         9.0571              0              0              0
       0.053367       -143.452       -62.4784         30.422             -0        40.9863        25.6586              0             -0              0             -0             -0             -0              0              0        9.32694              0        7.04076        9.60104              0              0              0
      0.0559081       -149.232       -64.8982        32.6869             -0        43.9844        27.5055              0             -0              0             -0             -0             -0              0              0        9.90875              0        7.47996        10.1999              0              0              0
      0.0585702       -155.011       -66.9432        35.1041             -0        47.1788        29.4596              0             -0              0             -0             -0             -0              0              0        10.5402              0        7.95666          10.85              0              0              0
      0.0613591       -161.039       -69.1452        37.6853             -0        50.5834        31.5414              0             -0              0             -0             -0             -0              0              0        11.2109              0         8.4629        11.5403              0              0              0
      0.0642807       -167.473       -71.9967        40.4367             -0        54.2047        33.7748              0             -0              0             -0             -0             -0              0              0        11.9018              0        8.98451        12.2516              0              0              0
      0.0673415       -173.003       -73.9659        43.3541             -0        58.0355        36.1934              0             -0              0             -0             -0             -0              0              0        12.5859              0        9.50092        12.9558              0              0              0
       0.070548       -176.076         -73.23        46.4183             -0        62.0482        38.8254              0             -0              0             -0             -0             -0              0              0        13.2291              0        9.98641        13.6178              0              0              0
      0.0739072       -176.516       -69.9528         49.593             -0        66.1929         41.672              0             -0              0             -0             -0             -0              0              0        13.7946              0        10.4133           14.2              0              0              0
      0.0774264       -174.412       -64.5918        52.8259             -0        70.3994        44.7125              0             -0              0             -0             -0             -0              0              0        14.2502              0        10.7573         14.669              0              0              0
      0.0811131        -168.68       -55.7355        56.0503             -0        74.5801        47.9138              0             -0              0             -0             -0             -0              0              0        14.5767              0        11.0037        15.0051              0              0              0
      0.0849753       -158.688       -42.3661        59.1903             -0        78.6356        51.2089              0             -0              0             -0             -0             -0              0              0        14.7766              0        11.1546        15.2109              0              0              0
      0.0890215       -146.179       -26.6036        62.1743             -0        82.4733        54.4792              0             -0              0             -0             -0             -0              0              0        14.8806              0        11.2331        15.3179              0              0              0
      0.0932603       -133.677       -11.4232        64.9511             -0        86.0297        57.5879              0             -0              0             -0             -0             -0              0              0        14.9471              0        11.2833        15.3863              0              0              0
       0.097701       -122.279        2.41799        67.5029             -0        89.2856        60.4289              0             -0              0             -0             -0             -0              0              0        15.0552              0        11.3649        15.4976              0              0              0
       0.102353       -112.985        14.2787        69.8512             -0        92.2714        62.9272              0             -0              0             -0             -0             -0              0              0        15.2894              0        11.5417        15.7387              0              0              0
       0.107227       -108.362        21.0297        72.0603             -0        95.0724        65.0345              0             -0              0             -0             -0             -0              0              0        15.7183              0        11.8655        16.1803              0              0              0
       0.112332       -110.062         20.449         74.229             -0        97.8182        66.7866              0             -0              0             -0             -0             -0              0              0          16.37              0        12.3575        16.8511              0              0              0
       0.117681       -115.906        15.2677          76.46             -0        100.642        68.3537              0             -0              0             -0             -0             -0              0              0        17.2081              0        12.9901        17.7138              0              0              0
       0.123285       -121.786        10.3669        78.8161             -0        103.621        69.9731              0             -0              0             -0             -0             -0              0              0        18.1197              0        13.6783        18.6522              0              0              0
       0.129155       -124.776        8.48831        81.2878             -0        106.738        71.8367              0             -0              0             -0             -0             -0              0              0        18.9302              0        14.2901        19.4865              0              0              0
       0.135305       -122.194        12.1272        83.7816             -0        109.872        74.0568              0             -0              0             -0             -0             -0              0              0        19.4595              0        14.6897        20.0314              0              0              0
       0.141747       -110.731        25.4744        86.1293             -0        112.805        76.6374              0             -0              0             -0             -0             -0              0              0        19.6104              0        14.8036        20.1868              0              0              0
       0.148497       -90.6875        48.7177        88.1355             -0        115.285        79.3599              0             -0              0             -0             -0             -0              0              0         19.442              0        14.6765        20.0134              0              0              0
       0.155568       -69.1236         73.351        89.6709             -0        117.148        81.7647              0             -0              0             -0             -0             -0              0              0        19.1733              0        14.4737        19.7368              0              0              0
       0.162975       -54.6433        88.9738        90.7541             -0        118.424        83.4201              0             -0              0             -0             -0             -0              0              0        19.0929              0         14.413        19.6541              0              0              0
       0.170735       -50.1704        92.7032        91.5478             -0        119.328         84.239              0             -0              0             -0             -0             -0              0              0        19.4103              0        14.6525        19.9807              0              0              0
       0.178865       -53.1367        88.0787        92.2629             -0         120.13        84.4876              0             -0              0             -0             -0             -0              0              0        20.1205              0        15.1887        20.7118              0              0              0
       0.187382       -58.9558        79.9408        93.0422             -0        121.012        84.5908              0             -0              0             -0             -0             -0              0              0        20.9582              0         15.821        21.5742              0              0              0
       0.196304       -60.6326        76.0113        93.8734             -0        121.959        84.9999              0             -0              0             -0             -0             -0              0              0        21.5215              0        16.2462         22.154              0              0              0
       0.205651       -50.6201        85.9633         94.567             -0        122.728        85.9755              0             -0              0             -0             -0             -0              0              0        21.5622              0         16.277        22.1958              0              0              0
       0.215443       -30.2418        108.893         94.866             -0        122.987         87.202              0             -0              0             -0             -0             -0              0              0        21.2313              0        16.0272        21.8552              0              0              0
       0.225702       -13.0769        127.593         94.675             -0        122.613        87.8414              0             -0              0             -0             -0             -0              0              0        20.9875              0        15.8432        21.6043              0              0              0
       0.236449       -10.4994        127.372        94.1814             -0        121.849        87.3943              0             -0              0             -0             -0             -0              0              0        21.1944              0        15.9993        21.8173              0              0              0
       0.247708       -16.6248        116.283        93.6604             -0        121.054        86.3726              0             -0              0             -0             -0             -0              0              0        21.7614              0        16.4273        22.4009              0              0              0
       0.259502       -16.3195        113.975        93.1597             -0         120.29        85.6788              0             -0              0             -0             -0             -0              0              0         22.203              0        16.7607        22.8555              0              0              0
       0.271859       -5.65057        124.568        92.4824             -0        119.303        85.4513              0             -0              0             -0             -0             -0              0              0        22.1669              0        16.7335        22.8183              0              0              0
       0.284804        5.52892        134.816        91.4855             -0        117.909        85.0465              0             -0              0             -0             -0             -0              0              0        21.8774              0        16.5149        22.5203              0              0              0
       0.298365        9.95278        136.352        90.2468             -0        116.206        84.0542              0             -0              0             -0             -0             -0              0              0        21.8377              0         16.485        22.4795              0              0              0
       0.312572        11.0493        134.445        88.8962             -0        114.361        82.7227              0             -0              0             -0             -0             -0              0              0        22.1294              0        16.7052        22.7798              0              0              0
       0.327455        13.9221        134.761        87.4462             -0        112.397        81.3799              0             -0              0             -0             -0             -0              0              0        22.3198              0        16.8488        22.9757              0              0              0
       0.343047        18.1913        135.929        85.8614             -0        110.268        80.0251              0             -0              0             -0             -0             -0              0              0        22.1722              0        16.7374        22.8238              0              0              0
       0.359381        22.1071        136.694        84.1477             -0        107.977        78.5706              0             -0              0             -0             -0             -0              0              0        22.0148              0        16.6186        22.6618              0              0              0
       0.376494        25.9374         138.25        82.3058             -0        105.524        77.0087              0             -0              0             -0             -0             -0              0              0        22.0916              0        16.6766        22.7408              0              0              0
       0.394421        29.1921        138.907        80.3275             -0        102.905        75.2828              0             -0              0             -0             -0             -0              0              0         22.135              0        16.7093        22.7855              0              0              0
       0.413201        30.5766         136.31        78.2615             -0        100.181        73.3547              0             -0              0             -0             -0             -0              0              0        21.9828              0        16.5944        22.6288              0              0              0
       0.432876        31.4773        133.313        76.1621             -0        97.4187        71.3736              0             -0              0             -0             -0             -0              0              0        21.8781              0        16.5154        22.5211              0              0              0
       0.453488         34.148        133.282        74.0029             -0        94.5849        69.4776              0             -0              0             -0             -0             -0              0              0        21.8518              0        16.4956         22.494              0              0              0
       0.475081        37.0738        133.453        71.7457             -0        91.6323        67.5291              0             -0              0             -0             -0             -0              0              0        21.7241              0        16.3992        22.3625              0              0              0
       0.497702        37.5954        130.174         69.431             -0         88.612        65.3659              0             -0              0             -0             -0             -0              0              0        21.5809              0        16.2911        22.2151              0              0              0
       0.521401        37.3803        126.066        67.1173             -0         85.599        63.1552              0             -0              0             -0             -0             -0              0              0        21.4747              0        16.2109        22.1058              0              0              0
       0.546228        39.1919        124.972        64.7849             -0        82.5673        61.0908              0             -0              0             -0             -0             -0              0              0        21.3178              0        16.0925        21.9443              0              0              0
       0.572237        40.9306        123.873        62.3943             -0        79.4671        58.9812              0             -0              0             -0             -0             -0              0              0        21.1549              0        15.9695        21.7766              0              0              0
       0.599484        39.7679        118.636        60.0051             -0         76.374        56.6508              0             -0              0             -0             -0             -0              0              0        20.9922              0        15.8467        21.6092              0              0              0
       0.628029        38.5179        113.403        57.6856             -0        73.3732        54.3823              0             -0              0             -0             -0             -0              0              0        20.8038              0        15.7045        21.4152              0              0              0
       0.657933        40.3641        112.892        55.3709             -0        70.3828        52.3898              0             -0              0             -0             -0             -0              0              0        20.6156              0        15.5624        21.2214              0              0              0
       0.689261        41.8524        111.922        52.9923             -0        67.3179        50.3279              0             -0              0             -0             -0             -0              0              0        20.4116              0        15.4084        21.0115              0              0              0
       0.722081        39.3603         105.19        50.6489             -0        64.3027        47.9578              0             -0              0             -0             -0             -0              0              0        20.1995              0        15.2483        20.7931              0              0              0
       0.756463        36.9746        98.7988        48.4422             -0        61.4623        45.7151              0             -0              0             -0             -0             -0              0              0        19.9814              0        15.0836        20.5686              0              0              0
       0.792483        38.8443        98.8349        46.2665             -0        58.6642        43.8945              0             -0              0             -0             -0             -0              0              0        19.7533              0        14.9115        20.3338              0              0              0
       0.830218        40.2884        98.3061        44.0134             -0        55.7758        41.9902              0             -0              0             -0             -0             -0              0              0        19.5169              0         14.733        20.0905              0              0              0
