#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.01    -9.52918    -4.52133     0.17136 -0.00339671    0.216902   -0.129907    0.617995  -0.0149545    0.615103   -0.252951   -0.468547   -0.210614   0.0129189  0.00757886    0.182402  0.00726081    0.174747    0.235307  0.00520495  0.00303343  0.00110921
   0.0104566    -10.9884    -5.40074    0.218001 -0.00362079    0.246799   -0.147656    0.682326  -0.0171896    0.727903   -0.279415   -0.517651    -0.23269   0.0145568  0.00782875    0.204996  0.00750022    0.196394    0.263099  0.00585983   0.0033634  0.00121043
    0.010934    -12.3448    -6.05523    0.220519 -0.00354947    0.281313   -0.166922    0.755321   -0.018651    0.752023   -0.309526   -0.573459   -0.257809   0.0159721  0.00736886    0.229578  0.00705962    0.219944    0.296224  0.00638885  0.00372032  0.00129428
   0.0114332    -13.8076    -6.70927    0.249623 -0.00294332    0.320252   -0.186794    0.825834  -0.0188569    0.822373   -0.338728    -0.62764   -0.282226   0.0168496  0.00612851    0.256438  0.00587133    0.245676    0.332641   0.0066526  0.00404712  0.00134255
   0.0119553    -15.7597    -7.83319    0.283769  0.00132931    0.364241   -0.194309    0.880929  -0.0175502    0.877504   -0.361695   -0.670333   -0.301474   0.0169464  0.00423792    0.286207  0.00406008    0.274196    0.372375  0.00655085    0.004261  0.00133605
   0.0125011    -18.0545    -9.22656    0.307268 0.000201767    0.415156   -0.199609     0.90867  -0.0148906    0.905551   -0.373656   -0.692686   -0.311384    0.016207   0.0020843    0.319873  0.00199683    0.306449    0.417236   0.0060748  0.00438949  0.00129938
   0.0130719    -20.2542    -10.3458    0.368014  0.00255879    0.473718   -0.157127    0.903119  -0.0115709    0.900643    -0.37219    -0.69026    -0.31069   0.0148593 0.000288213    0.358676 0.000276118    0.343624    0.473248  0.00534759  0.00431058  0.00121618
   0.0136688    -22.5325     -11.404    0.419718  0.00508821    0.541398   -0.112137    0.868324  -0.0145497    0.866786   -0.359033    -0.66622    -0.30008   0.0134346  0.00455505    0.406496 -0.000416676    0.389326     0.53115  0.00462737  0.00412979  0.00114419
   0.0142929    -25.4597    -12.9297    0.480416   0.0074036    0.621334  -0.0549659    0.820177  -0.0134166     0.81974   -0.340673   -0.632616   -0.285211   0.0126521   0.0032474    0.460654  0.00311112    0.441204    0.598686  0.00424646  0.00392511  0.00112414
   0.0149454    -28.9684    -15.1241    0.553507  0.00932288    0.717164  0.00459502    0.783771 -0.00954322    0.784511   -0.327225   -0.608163   -0.274485   0.0131451  0.00309898     0.51758  0.00296893    0.496169    0.674409  0.00448003  0.00382207  0.00119246
   0.0156278    -32.4534    -16.9748    0.639279   0.0110171    0.831745   0.0548103    0.783579  -0.0138331    0.785309   -0.328844   -0.611682   -0.276349   0.0150946  0.00624766    0.585286  0.00598548    0.560724    0.761859  0.00537907  0.00391257  0.00134782
