#             k              1             b1          b1*b1
           0.01        4423.77        13673.8              0
      0.0104762        4502.18        13916.1              0
       0.010975        4575.81        14143.7              0
      0.0114976        4644.02        14354.6              0
       0.012045        4706.18        14546.7              0
      0.0126186        4761.62        14718.1              0
      0.0132194        4809.72        14866.7              0
      0.0138489        4849.82        14990.7              0
      0.0145083        4881.23        15087.8              0
      0.0151991        4903.23        15155.8              0
      0.0159228        4915.18        15192.7              0
       0.016681        4916.51        15196.8              0
      0.0174753         4906.7        15166.5              0
      0.0183074        4885.16        15099.9              0
      0.0191791        4851.44        14995.7              0
      0.0200923        4805.23        14852.9              0
       0.021049        4746.45        14671.2              0
      0.0220513        4675.13        14450.7              0
      0.0231013        4591.29        14191.6              0
      0.0242013        4495.19        13894.6              0
      0.0253536        4387.49        13561.6              0
      0.0265609        4269.26        13196.2              0
      0.0278256        4141.68        12801.9              0
      0.0291505        4005.76        12381.7              0
      0.0305386        3862.86          11940              0
      0.0319927        3714.92        11482.7              0
       0.033516        3564.46        11017.7              0
      0.0351119        3413.84        10552.1              0
      0.0367838         3264.6        10090.8              0
      0.0385353        3118.59         9639.5              0
      0.0403702        2978.04        9205.06              0
      0.0422924        2845.49        8795.34              0
      0.0443062        2722.37         8414.8              0
      0.0464159        2609.37        8065.52              0
       0.048626           2507        7749.09              0
      0.0509414        2415.13         7465.1              0
       0.053367        2332.73        7210.43              0
      0.0559081        2258.09         6979.7              0
      0.0585702        2188.61        6764.94              0
      0.0613591        2121.06        6556.14              0
      0.0642807        2051.74         6341.9              0
      0.0673415        1976.93        6110.64              0
       0.070548        1893.35         5852.3              0
      0.0739072         1798.9        5560.37              0
      0.0774264        1693.23        5233.74              0
      0.0811131        1578.15        4878.03              0
      0.0849753        1457.67        4505.64              0
      0.0890215        1337.52        4134.25              0
      0.0932603        1224.15        3783.81              0
       0.097701        1123.46         3472.6              0
       0.102353        1039.58        3213.33              0
       0.107227        973.805        3010.01              0
       0.112332         924.08        2856.31              0
       0.117681        885.094        2735.81              0
       0.123285        849.188        2624.82              0
       0.129155        808.358        2498.62              0
       0.135305        757.142        2340.31              0
       0.141747        695.229        2148.94              0
       0.148497        628.026        1941.22              0
       0.155568        564.327        1744.32              0
       0.162975        512.037         1582.7              0
       0.170735        474.304        1466.07              0
       0.178865        447.982         1384.7              0
       0.187382        425.178        1314.22              0
       0.196304        397.819        1229.65              0
       0.205651        363.163        1122.53              0
       0.215443        325.822        1007.11              0
       0.225702        293.469        907.105              0
       0.236449        270.034        834.668              0
       0.247708        252.627        780.864              0
       0.259502        234.855        725.931              0
       0.271859        213.643        660.367              0
       0.284804        192.121        593.842              0
       0.298365        174.736        540.107              0
       0.312572         161.34        498.699              0
       0.327455        148.272        458.304              0
       0.343047        134.206        414.829              0
       0.359381        121.416        375.294              0
       0.376494        111.015        343.146              0
       0.394421        101.352        313.276              0
       0.413201        91.7128        283.483              0
       0.432876        83.1675        257.069              0
       0.453488         75.688         233.95              0
       0.475081         68.561        211.921              0
       0.497702        62.0584        191.821              0
       0.521401        56.2672        173.921              0
       0.546228         50.894        157.312              0
       0.572237        46.0182        142.241              0
       0.599484        41.6078        128.609              0
       0.628029        37.5711        116.131              0
       0.657933        33.9237        104.857              0
       0.689261        30.6042        94.5971              0
       0.722081        27.5956        85.2975              0
       0.756463        24.8726        76.8806              0
       0.792483        22.4043        69.2512              0
       0.830218        20.1697        62.3441              0
       0.869749        18.1485        56.0967              0
       0.911163        16.3235        50.4555              0
       0.954548        14.6715        45.3494              0
              1        13.1816        40.7441              0
