#          k           1          b1       b1*b1
        0.01     1548.36     6837.05     13585.6
   0.0104566     1574.73     6953.51       13817
    0.010934     1599.59      7063.3     14035.2
   0.0114332     1622.71     7165.36       14238
   0.0119553     1643.91     7258.98       14424
   0.0125011     1662.97     7343.15     14591.3
   0.0130719      1679.7     7417.05     14738.1
   0.0136688     1693.92     7479.81     14862.8
   0.0142929     1705.39     7530.45     14963.5
   0.0149454     1713.89     7568.02     15038.1
   0.0156278     1719.23      7591.6       15085
   0.0163414     1721.22     7600.38     15102.5
   0.0170875     1719.69     7593.63     15089.1
   0.0178677     1714.47      7570.6     15043.3
   0.0186835      1705.4     7530.54     14963.7
   0.0195366     1692.35     7472.92     14849.3
   0.0204286     1675.26     7397.45     14699.3
   0.0213613     1654.11     7304.08     14513.8
   0.0223366     1628.92     7192.86     14292.8
   0.0233565     1599.71     7063.85     14036.5
   0.0244229     1566.58     6917.57     13745.9
    0.025538     1529.77     6755.04     13422.9
   0.0267041     1489.62     6577.78     13070.7
   0.0279233     1446.51     6387.41     12692.5
   0.0291983     1400.72     6185.23     12290.8
   0.0305314     1352.71     5973.23     11869.6
   0.0319254     1303.06     5754.03       11434
   0.0333831     1252.58      5531.1     10991.1
   0.0349073     1201.98     5307.69     10547.2
   0.0365011     1151.77     5085.98     10106.7
   0.0381677      1102.5     4868.42     9674.39
   0.0399104     1054.83     4657.93     9256.14
   0.0417327     1009.55        4458     8858.89
   0.0436381     967.227     4271.12     8487.57
   0.0456306     928.112     4098.41     8144.38
    0.047714     892.376     3940.62     7830.85
   0.0498925     860.076        3798     7547.47
   0.0521706     831.019      3669.7     7292.56
   0.0545526     804.759     3553.76     7062.22
   0.0570434     780.634     3447.25     6850.65
   0.0596479     757.748     3346.22     6649.98
   0.0623713     735.017     3245.88     6450.72
   0.0652191     711.291     3141.15     6242.74
   0.0681969     685.424     3026.97     6015.97
   0.0713107     656.513     2899.34     5762.47
   0.0745666     624.016     2755.85     5477.38
   0.0779712     587.979     2596.73     5161.12
   0.0815313     549.079     2424.91     4819.51
   0.0852539      508.66     2246.36     4464.36
   0.0891464     468.516     2068.99     4111.43
   0.0932167     430.637      1901.6     3778.25
   0.0974729     396.839     1752.22     3480.87
    0.101923     368.373     1626.42     3230.49
    0.106577     345.672     1526.14     3031.07
    0.111443     328.201     1449.04     2878.08
    0.116531     314.443     1388.43     2758.24
    0.121852      302.15     1334.37     2651.69
    0.127416     288.874     1275.96     2536.53
    0.133233      272.73     1204.81     2395.69
    0.139317     253.161     1118.37     2223.79
    0.145678     231.291     1021.58     2030.54
    0.152329     209.478     924.924     1837.09
    0.159284     190.255     839.732     1666.58
    0.166557     175.182      773.07     1533.75
    0.174162     164.165     724.613     1438.34
    0.182113      155.55     686.999     1365.45
    0.190428     146.982     649.598     1292.99
    0.199123     136.777       604.7     1204.45
    0.208215     125.016     552.538     1099.83
    0.217722     113.293     500.356     994.378
    0.227662     103.322      456.09     905.471
    0.238057     95.5506     421.954     838.519
    0.248927     89.0517     393.695     784.355
    0.260292     82.5142     365.121      728.89
    0.272177     75.5375      334.21      667.01
    0.284604     68.7708     304.047     605.829
    0.297598     62.8856     277.999     553.868
    0.311186     57.8017     255.774     510.811
    0.325395     53.0355     234.912     470.245
    0.340252      48.418      214.46     429.311
    0.355787     44.1262     195.399     390.908
    0.372032     40.2603     178.364     357.256
    0.389018     36.7089     162.762     326.643
     0.40678     33.4157     148.201     297.574
    0.425353     30.3903     134.802     270.681
    0.444774     27.6186     122.566     246.338
    0.465082     25.0879     111.383     224.018
    0.486317     22.7746     101.136     203.413
    0.508521     20.6657     91.7918     184.626
     0.53174     18.7465     83.2792     167.486
    0.556018     17.0064     75.5467     151.846
    0.581405     15.4292     68.5256     137.617
    0.607951     14.0017     62.1578     124.688
    0.635709      12.708     56.3816     112.947
    0.664735      11.535     51.1386     102.286
    0.695086      10.471     46.3808     92.6168
    0.726822     9.51119     42.0835     83.8738
    0.760008     8.65818     38.2495     76.0233
    0.794709      7.9199     34.9124     69.0921
    0.830994     7.26687     31.9867     63.0523
