,Omega_m,omega_b,h,lnAs,ns,z_pk,s8,gridname,npoints_kmax02,f,,omega_cdm
ChallengeA,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
ChallengeB,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
ChallengeC,0.27,0.02303,0.7,3.155633809,0.96,0.441,0.82,conPBwide,57,0.2107623318,,0.10927
ChallengeD,0.286,0.02303,0.7,3.065508219,0.96,0.562,0.82,conPBwide,57,0.1966527197,,0.11711
ChallengeE,0.286,0.02303,0.7,3.065508219,0.96,0.562,0.82,conPBwide,57,0.1966527197,,0.11711
ChallengeF,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
ChallengeG,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
ChallengeQuarter_A,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
ChallengeQuarter_B,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
ChallengeQuarter_C,0.27,0.02303,0.7,3.155633809,0.96,0.441,0.82,conPBwide,57,0.2107623318,,0.10927
ChallengeQuarter_D,0.286,0.02303,0.7,3.065508219,0.96,0.562,0.82,conPBwide,57,0.1966527197,,0.11711
ChallengeQuarter_E,0.286,0.02303,0.7,3.065508219,0.96,0.562,0.82,conPBwide,57,0.1966527197,,0.11711
ChallengeQuarter_F,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
ChallengeQuarter_G,0.30711,0.022045,0.6777,3.043437736,0.96,0.5,0.82,conPBwide,57,0.1852464212,,0.1190036485
LightConeDida,0.307115,0.022045,0.6777,3.064762368,0.96,0.61,0.8288,conLightConeDidav1.13,57,0.1852428466,,0.1190059449
LightConeHector,0.31,0.022068,0.6711,3.127862277,0.9624,0.57,0.8475,conLightConeHectorv1.13,57,0.1877355705,,0.1175483151
LightConeHectorTrue,0.307115,0.02204531,0.6777,3.06477208,0.96,0.55,0.8288,conPatchywide,57,0.1852459341,,0.1190056349
runPB,0.292,0.022,0.69,3.051923256,0.965,0.55,0.82,conPBwide,57,0.1880001231,,0.1170212
CFAlbert,0.307115,0.02204531,0.6777,3.06477208,0.96,0.59,0.8288,conPatchywidemorepoint_True,57,0.1852459341,,0.1190056349
LightConeDidaz1,0.307115,0.022045,0.6777,3.064762368,0.96,0.38,0.8288,conLightConeDidaz38,57,0.1852428466,,0.1190059449
ChallengeJapanCMASS2,0.3,0.0216,0.677,3.064762368,0.9649,0.61,0.8288,conLightConeDidav1.13,57,0.1863696487,,0.1158987
Planck2018,0.3111,0.02242,0.6766,3.047,0.9626,,,,,0.1868368989,,0.1199977099
