#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.01    -16.0533    -8.97404    0.874673 0.000790558     1.20964    0.750693  -0.0758145  -0.0030821  -0.0758435   0.0464257   0.0986256    0.030183  0.00776099  0.00687271    0.873511  0.00474701    0.603338    0.820652   0.0135792  0.00720102  0.00209346
   0.0104566    -18.0076    -10.5703    0.981179  0.00174735     1.34977    0.767558  -0.0829781   -0.003711  -0.0830229   0.0509736    0.108388   0.0332221  0.00909713     0.00649    0.959253  0.00448267     0.66256    0.901598   0.0157587  0.00816058  0.00225548
    0.010934    -19.4281    -11.2367     1.11605  0.00338846     1.53647    0.891644  -0.0926565 -0.00399502  -0.0927453   0.0568917    0.121047   0.0371232   0.0100346  0.00499639     1.05058  0.00345103    0.725638    0.987766   0.0135153  0.00920585  0.00235818
   0.0114332    -21.0375    -12.0897     1.23664  0.00571485     1.70692    0.996514   -0.101058  -0.0037592   -0.101107   0.0621647    0.132341   0.0406004    0.010239  0.00238831     1.14794  0.00164962    0.792889     1.08343   0.0178964   0.0100997  0.00235758
   0.0119553    -23.1524    -13.6442     1.39485  0.00857156     1.91908     1.07271   -0.105336 -0.00292511   -0.105547   0.0643812    0.137224    0.042138  0.00949261 -0.00102933     1.25211 -0.000710965     0.86484     1.17974   0.0168633   0.0105852  0.00222802
   0.0125011    -24.7896     -14.341     1.57102  0.00942845     2.15733     1.23676     -0.1011 -0.00158217   -0.101399   0.0614476     0.13123   0.0423773  0.00782249 -0.000152161     1.36426 -0.00317062    0.942304     1.28765   0.0142596   0.0105282  0.00199577
   0.0130719    -26.9206    -15.7431     1.75254   0.0114999     2.40675      1.3495  -0.0871598 -2.4767e-05  -0.0876305   0.0524359    0.112526   0.0348094  0.00559181 -0.000813843     1.49521 -0.00507121     1.02632     1.41161   0.0139379  0.00967409   0.0016736
   0.0136688    -29.1006    -17.0838     1.97563   0.0136723      2.7086     1.49196  -0.0655549  0.00127974  -0.0661552   0.0383486   0.0830627   0.0259778  0.00349192 -0.00199769     1.62682 -0.00572096     1.11783     1.52638   0.0117559  0.00838837  0.00141115
   0.0142929    -31.0972    -18.0672     2.21262   0.0158404     3.03146     1.68092  -0.0415261  0.00182713   -0.042372   0.0224644    0.049743   0.0159499  0.00236923  -0.0067815     1.76232 -0.00468401     1.21724     1.66232   0.0093375  0.00699614  0.00131185
   0.0149454    -33.5161    -19.6333     2.48241   0.0179775     3.39839     1.85152  -0.0233615  0.00130651  -0.0245513  0.00970333   0.0228303  0.00783137  0.00287809 -0.00321646     1.91678 -0.00222162     1.32393      1.8054  0.00753214  0.00602004  0.00145647
