#          k           1          b1       b1*b1
        0.01     2066.97  -0.0206271 -0.00381484
   0.0104566      2080.1  -0.0246411 -0.00444882
    0.010934     2090.02  -0.0292777  -0.0053083
   0.0114332     2096.46  -0.0345766 -0.00627983
   0.0119553     2099.28  -0.0405766 -0.00761574
   0.0125011     2098.26  -0.0472643 -0.00866106
   0.0130719     2093.24  -0.0550548  -0.0100041
   0.0136688     2084.06   -0.063652  -0.0114257
   0.0142929     2070.59  -0.0731932  -0.0129079
   0.0149454      2052.7  -0.0837476  -0.0144355
   0.0156278     2030.32  -0.0954013  -0.0160005
   0.0163414     2003.39    -0.10823  -0.0175971
   0.0170875     1971.93   -0.122264  -0.0192109
   0.0178677     1935.96    -0.13744  -0.0208017
   0.0186835     1895.62   -0.153557   -0.022283
   0.0195366     1851.06   -0.170275  -0.0235147
   0.0204286     1802.54   -0.178249  -0.0243207
   0.0213613     1750.37   -0.203863  -0.0245334
   0.0223366     1694.93   -0.220032  -0.0240357
   0.0233565     1636.68   -0.235358  -0.0227536
   0.0244229     1576.17   -0.249248   -0.020569
    0.025538     1513.98   -0.260659    -0.01721
   0.0267041     1450.79   -0.268307   -0.012271
   0.0279233     1387.31   -0.271321 -0.00545233
   0.0291983     1324.27   -0.269672  0.00318286
   0.0305314     1262.39   -0.263545   0.0133328
   0.0319254     1202.37   -0.252172    0.024994
   0.0333831     1144.88   -0.234319   0.0385405
   0.0349073     1090.51   -0.210851    0.053739
   0.0365011     1039.69   -0.185277   0.0691239
   0.0381677     992.739   -0.159564   0.0835063
   0.0399104      949.79   -0.133108   0.0970994
   0.0417327     910.783   -0.110893    0.108757
   0.0436381     875.415  -0.0986528    0.115036
   0.0456306     843.152  -0.0970803    0.115637
    0.047714     813.259   -0.108317    0.111677
   0.0498925     784.766   -0.135252   0.0993068
   0.0521706     756.563   -0.170884   0.0815779
   0.0545526     727.534   -0.206535   0.0608249
   0.0570434     696.596   -0.230351   0.0411113
   0.0596479     662.957   -0.214982   0.0299847
   0.0623713     626.242   -0.141202   0.0342477
   0.0652191     586.566   0.0206584   0.0620931
   0.0681969     544.763    0.286472    0.119546
   0.0713107     502.249    0.656569    0.206513
   0.0745666     460.732     1.10694    0.316304
   0.0779712     422.038     1.58669    0.432695
   0.0815313     387.736      2.0203    0.534843
   0.0852539     358.842     2.31636    0.593059
   0.0891464     335.546     2.38292      0.5812
   0.0932167     317.058      2.1796    0.487492
   0.0974729     301.865     1.72487    0.317437
    0.101923     287.956     1.12189    0.104017
    0.106577     273.083    0.606555  -0.0829168
    0.111443     255.905    0.426783   -0.170752
    0.116531      236.14    0.781042   -0.102212
    0.121852     214.922     1.65069    0.118987
    0.127416     194.313     2.76294    0.412619
    0.133233     176.263     3.64589    0.649219
    0.139317     161.822      3.8659    0.707575
    0.145678     150.716     3.26717     0.54434
    0.152329     141.513     2.15626     0.23854
    0.159284     132.464     1.23135  -0.0315809
    0.166557     122.491      1.1819   -0.094769
    0.174162      111.77     2.14862   0.0837348
    0.182113     101.413     3.47296    0.350832
    0.190428     92.4585     4.18517    0.488082
    0.199123     85.0866     3.85216     0.39387
    0.208215     78.6518     3.01864    0.168039
    0.217722      72.451     2.68352 -0.000801614
    0.227662     66.3238     3.26616  -0.0274859
    0.238057     60.5423      4.1529 -3.0196e-05
    0.248927     55.3826     4.43408  -0.0496933
    0.260292     50.7752      4.1154   -0.192953
    0.272177     46.5363     3.92788   -0.362511
    0.284604     42.6022     4.21898   -0.511218
    0.297598     38.9901     4.52593   -0.635688
    0.311186     35.6874     4.50497   -0.742094
    0.325395     32.6683     4.42758   -0.843805
    0.340252      29.903      4.4615   -0.933491
    0.355787     27.3906     4.53917   -0.967199
    0.372032     25.0711     4.48972   -0.928655
    0.389018     22.9729     4.50415   -0.828549
     0.40678     21.0547     4.52675   -0.674122
    0.425353     19.2935     4.51712   -0.451011
    0.444774     17.6768      4.4873   -0.175489
    0.465082     16.1765     4.39212    0.114984
    0.486317     14.7957     4.28625    0.412604
    0.508521     13.5043     4.10557    0.678487
     0.53174     12.2983     3.87492     0.88986
    0.556018     11.1509     3.51858     1.01868
    0.581405     10.0676     3.09347     1.05584
    0.607951     9.04466     2.59772     1.00491
    0.635709      8.0832     2.05085    0.882737
    0.664735     7.21453     1.58762    0.726977
    0.695086     6.42823     1.18023    0.564238
    0.726822     5.72542    0.829694    0.411069
    0.760008      5.1053    0.543112    0.283328
    0.794709     4.63796    0.557331    0.254533
    0.830994     4.19394    0.428843   0.0895391
