#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.01    -33.9824    -41.1814    -20.2549     -9.1932    -20.1193    -21.2069     17.0466  -0.0788757     19.4967    0.127852    0.431111     0.18461   0.0896649     2.56463     2.19344     1.77382     1.51558     1.26166    0.118879   0.0878661   0.0261223
   0.0104566    -37.9486    -48.5258    -21.4932    -10.0306    -21.3397    -24.4607     18.4746  -0.0831929     21.2055     0.12037    0.427013    0.187362   0.0950038     2.82045     2.41287     1.95098     1.66658     1.38794    0.125109   0.0930017   0.0278258
    0.010934    -41.0092    -52.4904    -22.5922    -10.9234    -22.3883    -25.8837     20.1126  -0.0875537     23.1719    0.115297    0.428666    0.191989    0.100674     3.09674     2.64917     2.14172     1.83032     1.52382    0.131912   0.0981308   0.0293527
   0.0114332    -44.4327    -57.1867    -23.9113    -11.8726    -23.6777    -27.6415     21.7611  -0.0916044      25.167    0.103005    0.414698    0.192123    0.105759      3.3948     2.90338     2.34481     2.00538      1.6696    0.137497    0.102101   0.0304192
   0.0119553    -48.7941    -64.8286    -25.1094    -12.8771    -24.8136    -30.8484      23.658  -0.0951664      27.465   0.0724224    0.362838     0.18082    0.109463     3.71337     3.17406     2.56484     2.19267     1.82556    0.139931    0.103753   0.0308028
   0.0125011    -52.3394    -69.3213    -26.3168     -13.936    -25.9404    -32.3856     25.7356  -0.0969613      29.986   0.0146718    0.254124    0.152494     0.10997     4.05432      3.4651     2.79992     2.39267     1.99212    0.137623    0.102284   0.0305776
   0.0130719    -56.7963     -76.522    -27.6024    -15.0486    -27.1541    -35.2857     27.9534  -0.0984303     32.6872  -0.0727764   0.0832749    0.105048    0.108876     4.41763     3.77663     3.05128     2.60686     2.16998    0.130233   0.0976486   0.0295396
   0.0136688    -61.3745    -83.9081    -28.7459    -16.2113    -28.1775    -38.2252     30.4471  -0.0985187     35.7275   -0.182916   -0.135314   0.0439224    0.105259     4.80373     4.10754     3.31796     2.83702     2.36055     0.11879   0.0908383   0.0285488
   0.0142929      -65.66    -89.9374    -29.9289    -17.4208     -29.233    -40.4135      33.069   -0.097951     38.9436   -0.298524   -0.365626  -0.0210182     0.10089     5.21305     4.45877     3.60067      3.0797     2.56239    0.106011   0.0838396   0.0281113
   0.0149454    -70.7214    -98.3684    -31.0674    -18.6721    -30.2195    -43.7683      35.836  -0.0973576     42.3641   -0.396788   -0.560023  -0.0753244   0.0977103     5.64545     4.83013     3.89934     3.33619      2.7777   0.0958136   0.0791014   0.0288058
   0.0156278     -75.529    -105.772    -32.0682     -19.961    -31.0353     -46.506     38.7654   -0.097483     46.0147   -0.455921   -0.672895    -0.10542   0.0975041     6.10221      5.2228     4.21524     3.60741     3.00515   0.0916429    0.078524   0.0307033
   0.0163414    -80.3864    -113.117    -33.0746    -21.2786    -31.8236    -49.1454     41.7645  -0.0977216     49.7936   -0.468495   -0.688798   -0.106403    0.100961     6.58114     5.63341     4.54563     3.89102     3.24286   0.0952498   0.0822868    0.033756
   0.0170875    -85.6706    -121.845    -33.9519    -22.6178    -32.4412    -52.4512     44.9362  -0.0984428     53.8172   -0.449735   -0.639579  -0.0881614    0.106889     7.08064     6.06135     4.89063      4.1866     3.48767    0.103591   0.0881477   0.0365131
   0.0178677    -90.5614    -129.182    -34.7002     -23.969    -32.8913    -55.0369      48.336  -0.0982861     58.1407   -0.436417    -0.60228  -0.0732861    0.112176     7.59795     6.50383     5.24794     4.49282     3.74257    0.111236   0.0919834    0.037869
   0.0186835    -95.6101    -137.053    -35.3823    -25.3222    -33.2411    -57.9671     51.9949  -0.0958742     62.7919    -0.46999   -0.663737  -0.0884077    0.113613     8.12942      6.9581     5.61503       4.806     4.00307    0.111129   0.0898708   0.0372219
   0.0195366    -100.699    -145.188    -35.8817    -26.6636    -33.3575    -61.1251      56.016  -0.0911289     67.8842   -0.571237   -0.867646    -0.14655    0.109386     8.67418     7.42374     5.99094     5.12761     4.27066   0.0998257    0.080967   0.0353241
   0.0204286    -105.326    -151.893    -36.2526    -27.9913    -33.3017    -63.6469      60.316  -0.0842742     73.3282    -0.71571    -1.16231   -0.232288    0.101393     9.22831     7.89885     6.37359     5.45578     4.54411   0.0812478   0.0692048   0.0342107
   0.0213613    -110.082    -159.255    -36.4839    -29.2865    -33.0605    -66.5705     64.7906  -0.0773539     79.0201   -0.840252    -1.41804   -0.306752   0.0948121     9.79037     8.38255     6.76225     5.78987     4.82299   0.0656008   0.0615811   0.0359054
   0.0223366    -114.471    -165.693    -36.5012     -30.543    -32.5493    -69.0465     69.3778   -0.072199     84.9021   -0.885926    -1.50943   -0.332301   0.0945965     10.3623     8.87427     7.15728      6.1295     5.10665   0.0627991   0.0628138   0.0404852
   0.0233565    -118.452    -171.081    -36.3765    -31.7501    -31.8515    -71.0307     74.1943  -0.0689402     90.9187   -0.855558    -1.44322   -0.311271    0.100625     10.9377     9.36828      7.5547     6.47071     5.39117   0.0724603   0.0699767   0.0452571
   0.0244229    -122.366    -176.663    -36.0602    -32.9006    -30.9124     -73.256     78.9113     -0.0655      97.234   -0.830409    -1.38954   -0.293968    0.106425     11.5146     9.85964     7.95313     6.81123     5.67361    0.081396    0.073192   0.0467318
