#          k           1          b1       b1*b1
        0.01     5167.44     17456.6  -0.0184138
   0.0104566     5200.27     17567.5  -0.0221867
    0.010934     5225.07     17651.3  -0.0266665
   0.0114332     5241.16     17705.6  -0.0314798
   0.0119553     5248.21     17729.5    -0.03765
   0.0125011     5245.67     17720.9  -0.0431538
   0.0130719     5233.13     17678.5  -0.0498245
   0.0136688      5210.2       17601  -0.0569855
   0.0142929     5176.52     17487.3    -0.06458
   0.0149454     5131.82     17336.3  -0.0725582
   0.0156278     5075.87     17147.3  -0.0808843
   0.0163414     5008.56     16919.9  -0.0895148
   0.0170875     4929.89     16654.1  -0.0983565
   0.0178677     4839.99     16350.4   -0.107203
   0.0186835     4739.13     16009.7   -0.115658
   0.0195366     4627.76     15633.5   -0.123111
   0.0204286     4506.49     15223.8   -0.128798
   0.0213613     4376.09     14783.3   -0.131952
   0.0223366     4237.51     14315.2   -0.131942
   0.0233565     4091.89     13823.2   -0.128243
   0.0244229     3940.59     13312.1   -0.120132
    0.025538     3785.15       12787   -0.106322
   0.0267041     3627.21     12253.5  -0.0850745
   0.0279233     3468.55     11717.5  -0.0550454
   0.0291983     3310.94     11185.1  -0.0162283
   0.0305314     3156.23     10662.5   0.0304753
   0.0319254     3006.21     10155.7   0.0850851
   0.0333831     2862.53     9670.35    0.149398
   0.0349073     2726.61      9211.2     0.21944
   0.0365011     2599.56     8782.02    0.291899
   0.0381677     2482.18     8385.53    0.362717
   0.0399104     2374.85     8022.97    0.427436
   0.0417327     2277.34     7693.59     0.47879
   0.0436381     2188.92     7394.91    0.508692
   0.0456306     2108.32     7122.64    0.510774
    0.047714     2033.62     6870.33    0.480587
   0.0498925      1962.4     6629.75    0.414531
   0.0521706     1891.97     6391.85     0.31746
   0.0545526     1819.43     6146.82    0.203276
   0.0570434      1742.1     5885.64    0.092836
   0.0596479     1658.05     5601.73    0.023819
   0.0623713     1566.22     5291.52   0.0336876
   0.0652191        1467     4956.39    0.166971
   0.0681969     1362.35     4602.89    0.456507
   0.0713107     1255.94     4243.43    0.904563
   0.0745666     1151.91     3892.02        1.48
   0.0779712     1054.98     3564.59     2.10055
   0.0815313     968.973     3274.06     2.65333
   0.0852539     896.613      3029.6     2.98128
   0.0891464     838.306      2832.6     2.94049
   0.0932167     792.128     2676.55     2.45891
   0.0974729     754.347     2548.86     1.55743
    0.101923     719.793     2432.07    0.410077
    0.106577     682.765     2306.93   -0.590751
    0.111443     639.844     2161.91    -1.02659
    0.116531     590.211     1994.23   -0.544058
    0.121852     536.694     1813.46     0.84757
    0.127416     484.581     1637.43     2.71039
    0.133233     438.983     1483.38     4.24162
    0.139317      402.73     1360.86     4.68867
    0.145678     375.206     1267.79     3.75516
    0.152329     352.682     1191.61     1.93801
    0.159284     330.452     1116.45    0.432139
    0.166557     305.489     1032.11    0.456022
    0.174162     278.172     939.878     2.29382
    0.182113     251.636      850.29     4.81136
    0.190428     228.946     773.652     6.27882
    0.199123     210.648     711.795     5.87941
    0.208215     194.961     658.746     4.58007
    0.217722     179.602     606.853     4.20262
    0.227662     163.993     554.172     5.55482
    0.238057     149.146     504.078     7.48144
    0.248927     136.147     460.182     8.27393
    0.260292     124.808     421.857     7.91311
    0.272177     114.309     386.391      7.8178
    0.284604     104.348     352.776     8.68258
    0.297598     95.1862     321.856     9.55104
    0.311186     86.9342     293.981     9.66628
    0.325395     79.4059     268.544     9.59668
    0.340252     72.4966     245.202      9.7959
    0.355787     66.1559     223.779     9.91118
    0.372032     60.3831     204.251      9.7136
    0.389018     55.0949     186.363     9.45156
     0.40678     50.2612     170.003     9.14382
    0.425353     45.8383     155.022     8.68823
    0.444774     41.7862     141.288      8.1273
    0.465082     38.0658     128.668     7.48518
    0.486317     34.6478      117.08     6.78601
    0.508521     31.4973     106.399     6.02538
     0.53174     28.5918     96.5609     5.24435
    0.556018     25.9078     87.4644     4.43101
    0.581405     23.4266     79.0742     3.63371
    0.607951      21.138     71.3382     2.86544
    0.635709     19.0321     64.2207     2.15982
    0.664735     17.1181     57.7687     1.56029
    0.695086     15.3833     51.9246     1.07952
    0.726822      13.822     46.6613    0.718816
    0.760008     12.4332     41.9728    0.508329
    0.794709     11.2792     38.0879    0.601584
    0.830994     10.2686     34.6949    0.752261
