#          k           1          b1          b2          b3          b4       b1*b1       b1*b2       b1*b3       b1*b4       b2*b2       b2*b4       b4*b4       b1*b5       b1*b6       b1*b7          b5          b6          b7          b8          b9         b10
        0.01    -10.6334    -11.1987    -10.7184    -3.67181    -10.7394     3608.28    -7218.93    -14.0214    -7242.93     3613.97     7254.61     2069.48     2.56498    0.859414    0.519215    0.673531    0.406914    0.291024     105.106   0.0887235   0.0232655
   0.0104566    -12.8402    -16.8341    -11.5903    -4.05789    -11.6349     3599.13    -7212.67    -15.4965    -7238.55     3611.17     7251.12     2069.14     2.84714    0.954315    0.576889    0.747906    0.452113    0.323381     105.112   0.0945809   0.0248298
    0.010934    -13.7075    -17.3126    -12.2491    -4.47815     -12.278     3596.93    -7205.01    -17.1029    -7232.76     3608.13     7247.29     2068.75     3.15684     1.05803    0.639196    0.829191    0.500944    0.358305     105.118    0.100609   0.0264201
   0.0114332    -14.8782    -18.4952    -13.2737    -4.93471    -13.3366     3594.11    -7197.78    -18.8486    -7227.67     3604.83     7243.11     2068.32     3.49517      1.1708    0.703983    0.917564    0.553386    0.395765     105.124    0.105927   0.0277977
   0.0119553    -17.0982    -23.5939    -14.1354    -5.42913    -14.2043     3585.29    -7189.19    -20.7401    -7221.24     3601.26     7238.55     2067.83     3.86314     1.29276    0.777042     1.01315    0.609533    0.435827     105.128    0.109627   0.0286751
   0.0125011    -18.1321    -23.9108    -15.0555    -5.96288    -15.1246     3583.18    -7179.83    -22.7818    -7214.18     3597.35     7233.49     2067.25     4.26061     1.42437    0.855776     1.11629     0.67068     0.47881     105.127    0.111062   0.0290339
   0.0130719    -20.2032    -27.8199    -16.1783    -6.53786    -16.2736     3576.04    -7170.19    -24.9815    -7207.04     3593.12     7227.95      2066.6     4.69036     1.56765    0.940817      1.2277    0.737327    0.525368     105.122    0.110163   0.0287284
   0.0136688    -22.3216    -31.7905    -17.1428    -7.15544    -17.2341     3568.36    -7159.03    -27.3441    -7198.41     3588.54     7221.92     2065.87     5.15469     1.72249     1.03473     1.34845    0.809651    0.578554     105.115    0.107661   0.0280236
   0.0142929    -23.9846    -33.6644    -18.2928    -7.81687    -18.3727     3563.71    -7147.38    -29.8738    -7189.47     3583.61     7215.37     2065.06      5.6571     1.89039      1.1355     1.48144     0.88854    0.634925     105.106    0.105078   0.0273432
   0.0149454    -26.5775    -38.8138    -19.4493    -8.52303    -19.5548     3554.25    -7134.89     -32.574    -7179.83     3578.36     7208.41     2064.21     6.20188      2.0726       1.245     1.62426    0.974833    0.696681     105.099    0.104323   0.0272012
