#          k           1          b1       b1*b1
        0.01     1705.46  -0.0123366 -0.00129833
   0.0104566     1735.27  -0.0150181 -0.00169249
    0.010934     1763.47  -0.0179034 -0.00214441
   0.0114332      1789.8  -0.0215232 -0.00248768
   0.0119553     1814.09  -0.0259489 -0.00318953
   0.0125011     1836.08  -0.0310157 -0.00380804
   0.0130719     1855.58  -0.0369464 -0.00462357
   0.0136688     1872.36  -0.0439601 -0.00555264
   0.0142929     1886.19  -0.0519812 -0.00658793
   0.0149454     1896.83  -0.0608952 -0.00710964
   0.0156278     1904.06  -0.0718846 -0.00906523
   0.0163414      1907.7   -0.084112  -0.0105104
   0.0170875     1907.58   -0.098108  -0.0121222
   0.0178677     1903.49   -0.114032  -0.0139169
   0.0186835     1895.27   -0.131971  -0.0158904
   0.0195366     1882.79   -0.151927  -0.0180021
   0.0204286     1865.99   -0.173825  -0.0201693
   0.0213613     1844.86   -0.197586  -0.0222879
   0.0223366      1819.4   -0.223159  -0.0242685
   0.0233565     1789.65   -0.250492  -0.0260625
   0.0244229     1755.76   -0.279344  -0.0276238
    0.025538     1717.98   -0.309077  -0.0287996
   0.0267041      1676.7   -0.338656   -0.029252
   0.0279233     1632.26   -0.366996  -0.0285519
   0.0291983     1584.99   -0.393434  -0.0264516
   0.0305314      1535.4   -0.417492  -0.0229781
   0.0319254     1484.14   -0.437817  -0.0180048
   0.0333831     1432.06   -0.452122  -0.0108887
   0.0349073     1379.83   -0.459037 -0.00104525
   0.0365011     1327.95   -0.459401   0.0110457
   0.0381677     1277.04   -0.453214     0.02466
   0.0399104     1227.77   -0.437497   0.0405214
   0.0417327     1180.95    -0.41449   0.0586261
   0.0436381        1137   -0.388616   0.0759722
   0.0456306     1096.12   -0.361533   0.0920792
    0.047714     1058.41   -0.336335    0.106202
   0.0498925     1023.81   -0.320574    0.114964
   0.0521706      991.97   -0.318961    0.116377
   0.0545526     962.288   -0.334156    0.109685
   0.0570434     933.957   -0.372715   0.0930787
   0.0596479     905.949   -0.427672   0.0665049
   0.0623713      877.11   -0.492763   0.0337077
   0.0652191     846.335   -0.551321 -0.00320305
   0.0681969     812.624    -0.57222  -0.0325771
   0.0713107     775.396     -0.5202  -0.0465443
   0.0745666     734.526    -0.35611  -0.0306573
   0.0779712     690.598  -0.0445931   0.0224195
   0.0815313      644.79    0.428893    0.120803
   0.0852539     598.872     1.04795    0.256471
   0.0891464     554.839      1.7471    0.414775
   0.0932167      514.62     2.41837    0.564263
   0.0974729     479.691     2.91581    0.662024
    0.101923     450.702      3.0791     0.66778
    0.106577     427.315      2.7851     0.54827
    0.111443     408.194     2.00277     0.29438
    0.116531     391.165    0.849683  -0.0568596
    0.121852     373.734   -0.376169   -0.419818
    0.127416     353.855    -1.23991   -0.674757
    0.133233     330.711    -1.33402   -0.714729
    0.139317     305.101   -0.511685   -0.503002
    0.145678     279.197    0.924666   -0.120324
    0.152329     255.542     2.23888    0.245713
    0.159284     235.891      2.5654    0.383007
    0.166557     220.441     1.35184    0.165704
    0.174162     207.808     -1.1897   -0.343935
    0.182113     195.807    -3.96163   -0.889532
    0.190428     182.725    -5.50275    -1.15131
    0.199123      168.34    -5.08054   -0.972265
    0.208215      153.92    -3.44746   -0.521748
    0.217722     140.959    -2.46297   -0.149262
    0.227662     129.994     -3.5496  -0.0978872
    0.238057     120.386    -6.32111   -0.275252
    0.248927     111.176     -8.5909   -0.370337
    0.260292     102.016    -8.87858   -0.187011
    0.272177     93.2356    -7.87297    0.178914
    0.284604     85.1789    -7.68051      0.5321
    0.297598     77.7868    -9.05704    0.820507
    0.311186     70.8851    -10.5484     1.07984
    0.325395     64.4763    -10.7927     1.28679
    0.340252     58.5724    -10.4513     1.44372
    0.355787     53.0156    -10.8412     1.58297
    0.372032      47.828    -11.5754     1.67596
    0.389018      43.064    -11.9245     1.50832
     0.40678     38.6957    -12.0665     1.12078
    0.425353     34.6236    -12.4447    0.663081
    0.444774     30.8869    -12.8044   0.0847507
    0.465082     27.5181    -12.9581   -0.677363
    0.486317     24.4671    -13.0414    -1.48265
    0.508521     21.7623    -12.9254      -2.217
     0.53174     19.4058    -12.5458    -2.88176
    0.556018     17.4012    -11.8424    -3.34851
    0.581405     15.7277      -10.82    -3.56658
    0.607951      14.354    -9.51278    -3.54442
    0.635709     13.2354    -7.98554    -3.28381
    0.664735     12.3013    -6.39145     -2.8304
    0.695086     11.5026    -4.81766    -2.26706
    0.726822      10.801    -3.33401    -1.65466
    0.760008     10.1887    -1.94794    -1.06029
    0.794709     9.61966   -0.810767   -0.585158
    0.830994     9.00167   -0.185813   -0.513491
